,_id,ltable_id,rtable_id,ltable_product title,ltable_combo,rtable_product title,rtable_combo
131,131,a1105,w3049,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi lenovo 
133,133,a1105,w3051,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50,lenovo thinkpad t460s touch performance windows 10 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s touch performance windows 10 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo 
135,135,a1105,w3057,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 8gb ram 128gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 8gb ram 128gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo 
158,158,a1105,w3114,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 32gb ram 512gb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro),lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 32gb ram 512gb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me8
190,190,a1105,w3214,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 12gb ram 512gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 12gb ram 512gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo 
191,191,a1105,w3215,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 20gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 20gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi lenovo 
193,193,a1105,w3252,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 12gb ram 512gb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 12gb ram 512gb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi lenovo 
204,204,a1105,w3281,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50,lenovo thinkpad t460s touch performance windows 10 pro laptop - intel core i7-6600u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s touch performance windows 10 pro laptop - intel core i7-6600u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo 
224,224,a1105,w3482,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 32gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 16gb ram 4tb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro),lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 16gb ram 4tb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me13
236,236,a1116,w324,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 32gb ram 2tb hdd + 1tb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro),hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 32gb ram 2tb hdd + 1tb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro) michaelelectronics2 ,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 16gb ram 240gb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 home),hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 16gb ram 240gb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 home) michaelelectronics2 hp-15-02395-fhd-me3
247,247,a1116,w351,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 32gb ram 2tb hdd + 1tb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro),hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 32gb ram 2tb hdd + 1tb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro) michaelelectronics2 ,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 16gb ram 512gb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro),hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 16gb ram 512gb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro) michaelelectronics2 hp-15-02395-fhd-me13
258,258,a1116,w434,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 32gb ram 2tb hdd + 1tb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro),hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 32gb ram 2tb hdd + 1tb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro) michaelelectronics2 ,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 32gb ram 2tb hdd + 1tb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro),hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 32gb ram 2tb hdd + 1tb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro) michaelelectronics2 hp-15-02395-fhd-me28
263,263,a1125,w2530,2018 newest hp flagship high performance 17.3 inch hd+ backlit keyboard laptop notebook pc intel core i3-7100u dual-core 8gb ddr4 2tb hdd dvd rw bluetooth wifi windows 10 home marine blue,2018 newest hp flagship high performance 17.3 inch hd+ backlit keyboard laptop notebook pc intel core i3-7100u dual-core 8gb ddr4 2tb hdd dvd rw bluetooth wifi windows 10 home marine blue hp ,2017 newest hp 17.3 hd+ wled backlight flagship high performance laptop pc | intel core i5 | 8gb ddr4 | 1tb hdd | usb 3.1 | hdmi | wifi | webcam | dvd-rw | windows 10 (black),2017 newest hp 17.3 hd+ wled backlight flagship high performance laptop pc | intel core i5 | 8gb ddr4 | 1tb hdd | usb 3.1 | hdmi | wifi | webcam | dvd-rw | windows 10 (black) hp 
264,264,a1134,w2289,premium 2018 newest hp 15.6 inch flagship notebook laptop computer (amd equad-core 2-7110 apu 1.8ghz 4gb ddr3 ram 128gb ssd amd radeon r2 wifi hd webcam super dvd burner windows 10) black,premium 2018 newest hp 15.6 inch flagship notebook laptop computer (amd equad-core 2-7110 apu 1.8ghz 4gb ddr3 ram 128gb ssd amd radeon r2 wifi hd webcam super dvd burner windows 10) black hp hp,premium hp 15.6 inch flagship notebook laptop computer (quad-core amd e2-7110 apu 1.8ghz 4gb ram 500gb hdd amd radeon r2 wifi hd webcam super dvd burner windows 10) black,premium hp 15.6 inch flagship notebook laptop computer (quad-core amd e2-7110 apu 1.8ghz 4gb ram 500gb hdd amd radeon r2 wifi hd webcam super dvd burner windows 10) black hp 
279,279,a1138,w3049,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo ,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi lenovo 
298,298,a1138,w3155,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo ,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 128gb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 128gb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi lenovo 
304,304,a1138,w3161,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo ,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 12gb ram 256gb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 12gb ram 256gb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader lenovo 
307,307,a1138,w3165,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo ,pcie touch lenovo thinkpad t460s windows 10 pro laptop - intel core i7-6600u 12gb ram 256gb pcie-nvme ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader,pcie touch lenovo thinkpad t460s windows 10 pro laptop - intel core i7-6600u 12gb ram 256gb pcie-nvme ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader lenovo 
325,325,a1138,w3216,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo ,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 20gb ram 256gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 20gb ram 256gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo 
360,360,a1138,w3320,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo ,pcie touch lenovo thinkpad t460s windows 8.1 pro laptop - intel core i7-6600u 20gb ram 512gb pcie-nvme ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader,pcie touch lenovo thinkpad t460s windows 8.1 pro laptop - intel core i7-6600u 20gb ram 512gb pcie-nvme ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader lenovo 
369,369,a1138,w3342,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo ,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 8gb ram 1tb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 8gb ram 1tb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi lenovo 
382,382,a1138,w3370,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo ,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 12gb ram 1tb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 12gb ram 1tb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi lenovo 
383,383,a1138,w3371,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo ,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 12gb ram 1tb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 12gb ram 1tb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi lenovo 
385,385,a1138,w3374,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo ,pcie lenovo thinkpad t460s business windows 8.1 pro laptop - intel core i7-6600u 12gb ram 1tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader,pcie lenovo thinkpad t460s business windows 8.1 pro laptop - intel core i7-6600u 12gb ram 1tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader lenovo 
405,405,a1138,w3409,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7600u 20gb ram 256gb pcie nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader black color lenovo ,pcie lenovo thinkpad t460s business windows 8.1 pro laptop - intel core i7-6600u 20gb ram 1tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader,pcie lenovo thinkpad t460s business windows 8.1 pro laptop - intel core i7-6600u 20gb ram 1tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader lenovo 
