_id,ltable_id,rtable_id,ltable_product_title,ltable_price,ltable_brand,ltable_model,ltable_operating_system,ltable_extended_title,rtable_product_title,rtable_price,rtable_brand,rtable_model,rtable_operating_system,rtable_extended_title,predicted_match
19,a1004,w1962,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome,$425.00,lenovo,20gl0000us,chrome os,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome $425.00 20gl0000us os,lenovo thinkpad 13 chromebook 20gl 20gl0008us thinkpad 13 chromebook 20gl,$670.94,lenovo,20gl0008us,chrome os,lenovo thinkpad 13 chromebook 20gl 20gl0008us thinkpad 13 chromebook 20gl $670.94 20gl0008us os,1
20,a1004,w2742,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome,$425.00,lenovo,20gl0000us,chrome os,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome $425.00 20gl0000us os,lenovo thinkpad 13 chromebook - 13.3 - core i3 6100u - 4 gb ram - 16 gb ssd,$535.67,lenovo,20gl0002us,chrome os,lenovo thinkpad 13 chromebook - 13.3 - core i3 6100u - 4 gb ram - 16 gb ssd $535.67 20gl0002us os,1
21,a1004,w2889,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome,$425.00,lenovo,20gl0000us,chrome os,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome $425.00 20gl0000us os,lenovo thinkpad 13 chromebook - 13.3 - core i5 6300u - 8 gb ram - 32 gb ssd,$856.77,lenovo,20gl0005us,chrome os,lenovo thinkpad 13 chromebook - 13.3 - core i5 6300u - 8 gb ram - 32 gb ssd $856.77 20gl0005us os,1
24,a1004,w856,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome,$425.00,lenovo,20gl0000us,chrome os,lenovo thinkpad 13 chromebook - celeron 3855u 4gb ram 16gb emmc chrome $425.00 20gl0000us os,lenovo thinkpad 13 chromebook - 13.3 - core i3 6100u - 4 gb ram - 16 gb ssd, ,lenovo,20gl0008us,chrome os,lenovo thinkpad 13 chromebook - 13.3 - core i3 6100u - 4 gb ram - 16 gb ssd 20gl0008us os,1
27,a1013,w2265,dell 66txp latitude 5580 laptop 15.6 fhd intel core i5-7300u 8gb ddr4 256gb solid state drive windows 10 pro,$1.073.00,dell,66txp,windows 10 pro,dell 66txp latitude 5580 laptop 15.6 fhd intel core i5-7300u 8gb ddr4 256gb solid state drive windows 10 pro $1.073.00,dell latitude 3580 15.6 hd laptop intel core i5-7200u 8gb ddr4 128gb solid state drive windows 10 pro,$724.67,dell,lati35802t78m,windows 10,dell latitude 3580 15.6 hd laptop intel core i5-7200u 8gb ddr4 128gb solid state drive windows 10 pro $724.67 lati35802t78m,1
28,a1013,w2389,dell 66txp latitude 5580 laptop 15.6 fhd intel core i5-7300u 8gb ddr4 256gb solid state drive windows 10 pro,$1.073.00,dell,66txp,windows 10 pro,dell 66txp latitude 5580 laptop 15.6 fhd intel core i5-7300u 8gb ddr4 256gb solid state drive windows 10 pro $1.073.00,dell latitude 5580 - 15.6 - core i5 7300u - 8 gb ram - 256 gb ssd,$1.074.00,dell,66txp,windows 10,dell latitude 5580 - 15.6 - core i5 7300u - 8 gb ram - 256 gb ssd $1.074.00 66txp windows 10,1
29,a102,w1746,asus chromebook c300sa compact 13.3 inch (intel celeron 4gb 16gb emmc black),$199.99,asus,c300sa-dh02,chrome,asus chromebook c300sa compact 13.3 inch (intel celeron 4gb 16gb emmc black) $199.99 asus c300sa-dh02,c300sa-dh02 cel n3060 4gb 16gb 13.3in chrome os,$244.00,asus,c300sa-dh02,chrome os,c300sa-dh02 cel n3060 4gb 16gb 13.3in chrome os $244.00 asus chrome,1
30,a1021,w2354,acer spin 3 sp315-51-54mw intel core i5 6th gen 6200u (2.30 ghz) 8 gb memory 256 gb ssd 15.6 touchscreen 1920 x 1080 2-in-1 laptop windows 10 home 64-bit,$574.90,acer,8.89e+11,windows 10,acer spin 3 sp315-51-54mw intel core i5 6th gen 6200u (2.30 ghz) 8 gb memory 256 gb ssd 15.6 touchscreen 1920 x 1080 2-in-1 laptop windows 10 home 64-bit $574.90 8.89e+11,acer aspire r 15 r5-571tg-78g8 - 15.6 fhd touch - 7th gen i7-7500u - 940mx - 12gb - 1tb,$879.00,acer,8.89e+11,microsoft windows windows 10,acer aspire r 15 r5-571tg-78g8 - 15.6 fhd touch - 7th gen i7-7500u - 940mx - 12gb - 1tb $879.00 8.89e+11 microsoft windows windows 10,1
32,a1022,w36,dell i5368-10024gry 13.3 fhd 2-in-1 laptop (intel core i7-6500u 2.5ghz processor 8 gb ram 256 gb sdd windows 10 microsoft signature image) gray,$699.00,dell,i5368-10024gry,windows 10 microsoft signature image,dell i5368-10024gry 13.3 fhd 2-in-1 laptop (intel core i7-6500u 2.5ghz processor 8 gb ram 256 gb sdd windows 10 microsoft signature image) gray $699.00,refurbished dell i5368-1692gry 13.3 fhd 2-in-1 laptop (intel core i3-6100u 2.3ghz processor 4 gb ram 1 tb hdd windows 10) gray, ,dell,i5368-1692gry,,refurbished dell i5368-1692gry 13.3 fhd 2-in-1 laptop (intel core i3-6100u 2.3ghz processor 4 gb ram 1 tb hdd windows 10) gray i5368-1692gry,1
45,a1027,w1097,ctl j5 chromebook 11.6 1366 x 768 hd led 16:9 ips 2-in-1 convertible 10 point touch n3060 4gb nbcj5,$292.97,ctl,nbcj5,chrome os,ctl j5 chromebook 11.6 1366 x 768 hd led 16:9 ips 2-in-1 convertible 10 point touch n3060 4gb nbcj5 $292.97 os,ctl nbcj5 11.6 touchscreen chromebook w/ intel celeron n3060 & 32gb flash, ,ctl corp,nbcj5,chrome os,ctl nbcj5 11.6 touchscreen chromebook w/ intel celeron n3060 & 32gb flash corp nbcj5 os,1
47,a103,w2418,asus zenbook ux303ua 13.3-inch fhd touchscreen laptop intel core i5 8 gb ram 256 gb ssd windows 10 (64 bit),$729.99,asus,ux303ua-dh51t,windows 10,asus zenbook ux303ua 13.3-inch fhd touchscreen laptop intel core i5 8 gb ram 256 gb ssd windows 10 (64 bit) $729.99 asus ux303ua-dh51t,i5-6200u 8gb 256gb 13.3in touch screen w10,$699.99,asus,ux303ua-dh51t,windows 10,i5-6200u 8gb 256gb 13.3in touch screen w10 $699.99 asus ux303ua-dh51t windows,1
48,a103,w996,asus zenbook ux303ua 13.3-inch fhd touchscreen laptop intel core i5 8 gb ram 256 gb ssd windows 10 (64 bit),$729.99,asus,ux303ua-dh51t,windows 10,asus zenbook ux303ua 13.3-inch fhd touchscreen laptop intel core i5 8 gb ram 256 gb ssd windows 10 (64 bit) $729.99 asus ux303ua-dh51t,asus 90nb04y2-m04170 asus zenbook ux303la-ds51t 13.3 touchscreen (in-plane switching (ips) technology) ultrabook - intel core i5 i5-5200u 2.20 ghz - smoky brown, ,asus,ux303la-ds51t,windows 8,asus 90nb04y2-m04170 asus zenbook ux303la-ds51t 13.3 touchscreen (in-plane switching (ips) technology) ultrabook - intel core i5 i5-5200u 2.20 ghz - smoky brown windows 8,1
49,a1031,w4480,acer laptop 15.6 intel core i5 3.40ghz 8gb ram 256gb ssd windows 10 (certified refurbished),$463.99,acer,a515-51-596k,windows 10 home,acer laptop 15.6 intel core i5 3.40ghz 8gb ram 256gb ssd windows 10 (certified refurbished) $463.99 a515-51-596k home,refurbished acer laptop 15.6 intel core i5 3.40ghz 8gb ram 256gb ssd windows 10,$487.19,acer,nx.gtpaa.002,windows 10,refurbished acer laptop 15.6 intel core i5 3.40ghz 8gb ram 256gb ssd windows 10 $487.19 nx.gtpaa.002,1
52,a1036,w1803,hp elitebook 850 g4 15.6 notebook windows intel core i5 2.5 ghz 8 gb ram 256 gb ssd silver (1bs46ut#aba),$991.01,hp,1bs46ut#aba,windows 10 pro 64-bit edition,hp elitebook 850 g4 15.6 notebook windows intel core i5 2.5 ghz 8 gb ram 256 gb ssd silver (1bs46ut#aba) $991.01 10 pro 64-bit edition,hp elitebook 850 g4 - 15.6 - core i7 7600u - 16 gb ram - 256 gb ssd,$1.620.11,hp,1bs54ut#aba,windows 10 pro (english),hp elitebook 850 g4 - 15.6 - core i7 7600u - 16 gb ram - 256 gb ssd $1.620.11 1bs54ut#aba windows 10 pro (english),1
55,a1036,w731,hp elitebook 850 g4 15.6 notebook windows intel core i5 2.5 ghz 8 gb ram 256 gb ssd silver (1bs46ut#aba),$991.01,hp,1bs46ut#aba,windows 10 pro 64-bit edition,hp elitebook 850 g4 15.6 notebook windows intel core i5 2.5 ghz 8 gb ram 256 gb ssd silver (1bs46ut#aba) $991.01 10 pro 64-bit edition,hp elitebook 850 g4 - 15.6 - core i7 7600u - 8 gb ram - 256 gb ssd, ,hp,1bs55ut#aba,windows 10 pro (english),hp elitebook 850 g4 - 15.6 - core i7 7600u - 8 gb ram - 256 gb ssd 1bs55ut#aba windows 10 pro (english),1
59,a1036,w941,hp elitebook 850 g4 15.6 notebook windows intel core i5 2.5 ghz 8 gb ram 256 gb ssd silver (1bs46ut#aba),$991.01,hp,1bs46ut#aba,windows 10 pro 64-bit edition,hp elitebook 850 g4 15.6 notebook windows intel core i5 2.5 ghz 8 gb ram 256 gb ssd silver (1bs46ut#aba) $991.01 10 pro 64-bit edition,hp elitebook 850 g4 - 15.6 - core i5 7300u - 8 gb ram - 256 gb ssd, ,hp,1bs50ut#aba,windows 10,hp elitebook 850 g4 - 15.6 - core i5 7300u - 8 gb ram - 256 gb ssd 1bs50ut#aba windows 10,1
60,a1036,w944,hp elitebook 850 g4 15.6 notebook windows intel core i5 2.5 ghz 8 gb ram 256 gb ssd silver (1bs46ut#aba),$991.01,hp,1bs46ut#aba,windows 10 pro 64-bit edition,hp elitebook 850 g4 15.6 notebook windows intel core i5 2.5 ghz 8 gb ram 256 gb ssd silver (1bs46ut#aba) $991.01 10 pro 64-bit edition,hp elitebook 840 g4 - 14 - core i7 7600u - 8 gb ram - 256 gb ssd, ,hp,1ge46ut#aba,windows 10,hp elitebook 840 g4 - 14 - core i7 7600u - 8 gb ram - 256 gb ssd 1ge46ut#aba windows 10,1
66,a1047,w1387,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,$1.199.00,prostar,n850hp6,windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty $1.199.00 prostar,prostar clevo n855hj 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 8gb ddr4 gtx 1050 120gb ssd windows 10 home wi-fi+bluetooth 1-year warranty, ,prostar,n855hj,microsoft?? windows 10,prostar clevo n855hj 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 8gb ddr4 gtx 1050 120gb ssd windows 10 home wi-fi+bluetooth 1-year warranty n855hj microsoft??,1
67,a1047,w1392,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,$1.199.00,prostar,n850hp6,windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty $1.199.00 prostar,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 8gb ddr4 gtx 1050ti 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty, ,prostar,n850hk1,microsoft?? windows 10 (64-bit)??,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 8gb ddr4 gtx 1050ti 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n850hk1 microsoft?? (64-bit)??,1
68,a1047,w1400,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,$1.199.00,prostar,n850hp6,windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty $1.199.00 prostar,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 8gb ddr4 gtx 1050 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty, ,prostar,n855hj,microsoft?? windows 10 (64-bit)??,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 8gb ddr4 gtx 1050 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n855hj microsoft?? (64-bit)??,1
69,a1047,w1412,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,$1.199.00,prostar,n850hp6,windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty $1.199.00 prostar,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050ti 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty, ,prostar,n850hk1,microsoft windows 10 (64-bit),prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050ti 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n850hk1 microsoft (64-bit),1
70,a1047,w1415,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,$1.199.00,prostar,n850hp6,windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty $1.199.00 prostar,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 8gb ddr4 gtx 1050 128gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty, ,prostar,n855hj,microsoft?? windows 10 (64-bit)??,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 8gb ddr4 gtx 1050 128gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n855hj microsoft?? (64-bit)??,1
71,a1047,w1419,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,$1.199.00,prostar,n850hp6,windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty $1.199.00 prostar,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 32gb ddr4 gtx 1050 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty, ,prostar,n855hj,microsoft?? windows 10 (64-bit)??,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 32gb ddr4 gtx 1050 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n855hj microsoft?? (64-bit)??,1
72,a1047,w1421,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,$1.199.00,prostar,n850hp6,windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty $1.199.00 prostar,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 8gb ddr4 gtx 1060 120gb ssd windows 10 home wi-fi+bluetooth 1-year warranty, ,prostar,n850hp6,microsoft?? windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 8gb ddr4 gtx 1060 120gb ssd windows 10 home wi-fi+bluetooth 1-year warranty n850hp6 microsoft??,1
73,a1047,w1425,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,$1.199.00,prostar,n850hp6,windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty $1.199.00 prostar,prostar clevo gaming laptop n850hk1 15.6” fhd ips (1920x1080) matte type display intel core i7-7700hq 8gb ddr4 gtx 1050ti 120gb ssd windows 10 home wi-fi+bluetooth 1-year warranty, ,prostar,n850hk1,microsoft?? windows 10 ??,prostar clevo gaming laptop n850hk1 15.6” fhd ips (1920x1080) matte type display intel core i7-7700hq 8gb ddr4 gtx 1050ti 120gb ssd windows 10 home wi-fi+bluetooth 1-year warranty n850hk1 microsoft?? ??,1
74,a1047,w1426,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,$1.199.00,prostar,n850hp6,windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty $1.199.00 prostar,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 16gb ddr4 gtx 1050 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty, ,prostar,n855hj,microsoft?? windows 10 (64-bit)??,prostar clevo gaming laptop n855hj 15.6” full hd (1920x1080) matte type display intel core i7-7700hq 16gb ddr4 gtx 1050 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n855hj microsoft?? (64-bit)??,1
75,a1047,w1440,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,$1.199.00,prostar,n850hp6,windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty $1.199.00 prostar,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty, ,prostar,n850hp6,microsoft windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n850hp6 microsoft,1
76,a1047,w1443,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty,$1.199.00,prostar,n850hp6,windows 10,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty $1.199.00 prostar,prostar clevo gaming laptop n850hk1 15.6” fhd ips (1920x1080) matte type display intel core i7-7700hq 8gb ddr4 gtx 1050ti 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty, ,prostar,n850hk1,microsoft?? windows 10 ??,prostar clevo gaming laptop n850hk1 15.6” fhd ips (1920x1080) matte type display intel core i7-7700hq 8gb ddr4 gtx 1050ti 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty n850hk1 microsoft?? ??,1
