id,product title,price,average battery life,brand,display resolution,hard disk size,laptop computer type,operating system,processor (cpu) manufacturer,processor count,processor speed,ram size,screen size
a32,Dell Inspiron 15 7000 Series Gaming Edition 7567 15.6-Inch Full HD Screen Laptop - Intel Core i5-7300HQ 1 TB Hybrid HDD 8GB DDR4 Memory NVIDIA GTX 1050 4GB Graphics Windows 10,$710.95,,PC,1920 x 1080,1 TB,PC,Windows 10 Home,3.5 GHz Intel Core i5,1,3.5 GHz,8 GB,15.6in
a33,HP Notebook Laptop 15.6 HD Vibrant Display Quad Core AMD E2-7110 APU 1.8GHz 4GB RAM 500GB HDD DVD Windows 10,$261.99,7 hours,HP,1366x768,500 GB,PC,Windows 10,1.6 GHz AMD E Series,4,1.6 GHz,4 GB,15.6in
a34,ASUS Chromebook Flip C101PA-DB02 10.1inch Rockchip RK3399 Quad-Core Processor 2.0GHz 4GB Memory16GB All Metal BodyLightweight USB Type-C Google Play Store Ready to run Android apps Touchscreen,$269.98,9 hours,Asus,1280 x 800 pixels,16.0,,Chrome,2 GHz 8032,4,2 GHz,4 GB,10.1in
a35,Apple MPDL2LL/A 13 MacBook Pro Retina Touch Bar 3.3GHz Intel i7 Dual Core 16GB RAM 512GB PCIe SSD Intel Iris 550 Silver,$1984.00,,Apple,2560x1600 pixels,512.0,,macOS High Sierra,3.3 GHz 8032,2,3.3 GHz,16 GB,13in
a36,Razer Blade Ultra-Thin Gaming Laptop - 14 Full HD (Core i7-7700HQ 16GB RAM 512TB SSD GeForce GTX 1060) - VR Ready,$1769.00,,Razer,1920 x 1080 pixels,512.0,,Windows 10 Home,2.8 GHz Intel Core i7,4,2.8 GHz,16 GB,14in
a37,HP Notebook 15.6 Inch Touchscreen Premium Laptop PC (2017 Version) 7th Gen Intel Core i3-7100U 2.4GHz Processor 8GB DDR4 RAM 1TB HDD SuperMulti DVD Burner Bluetooth Windows 10,$429.98,,hp,,1000 GB,,Windows 10 Home 64,Intel,2,2.4 GHz,6 GB,15.6in
a38,2018 Lenovo IdeaPad 320 15.6? Laptop with 3x Faster WiFi Intel Celeron Dual Core N3350 Processor up to 2.40GHz 4GB RAM 1TB HDD DVD-RW HDMIBluetooth Webcam Win 10,$274.98,5 hours,Lenovo,1366x768,1 TB,PC,Windows 10,2.9 GHz Intel Celeron,2,2.9 GHz,4 GB,15.6in
a39,HP Pavilion 14 HD Notebook (2018 Newest) Intel Core i5-7200U Processor up to 3.10 GHz 8GB DDR4 1TB Hard Drive No DVD Webcam Backlit Keyboard Bluetooth Windows 10 Home,$498.88,7.75 hours,HP-14-inch-i5-8GB-1TB,1366 x 768,1 TB,PC,Windows 10,1.6 GHz Intel Core i5,2,1.6 GHz,8 GB,14in
a40,2018 HP Business 15.6-inch HD Touchscreen Laptop PC Quad-Core AMD A12 Processor up to 3.6GHz 8GB DDR4 SDRAM 1TB HDD Webcam HDMI DVD±RW AMD Radeon R7 graphics DTS Studio Sound Windows 10,$459.99,,hp,,1 TB,,Windows 10,AMD,4,2.7 GHz,8 GB,15.6in
a41,ASUS FX503VD 15.6” FHD Powerful Gaming Laptop Intel Core i7-7700HQ Quad-Core 2.8GHz (Turbo up to 3.8GHz) Processor 4GB GTX 1050 128GB SSD + 1TB HDD 8GB DDR4 Windows 10 Home,$849.00,,ASUS Computers,1920x1080 pixels,1000 GB,,Windows 10,Intel,4,2.8 GHz,8 GB,15.6in
a42,ASUS ZenBook UX430UA-DH74 Ultra-Slim Laptop 14” FHD wideview display 8th gen Intel Core i7 Processor 16GB DDR3 512GB SSD Windows 10 Backlit keyboard Quartz Grey,$1004.99,,Asus,1920x1080 pixels,512,,Windows 10,1.8 GHz 8032,4,1.8 GHz,16 GB,14in
a43,Lenovo IdeaPad 15.6 HD Flagship High Performance Laptop PC | A6-7310 Quad-Core | 4GB RAM | 500GB HDD | DVD+/-RW | HDMI | Windows 10,$264.00,5 hours,Lenovo IdeaPad,1366 x 768 (HD),500 GB,PC,Windows 10,2 GHz AMD A Series,4,2 GHz,4 GB,15.6in
a44,Acer Chromebook CB3-131-C3SZ 11.6-Inch Laptop (Intel Celeron N2840 Dual-Core Processor2 GB RAM16 GB Solid State DriveChrome) White,$184.99,9 hours,Acer,1366 x 768 pixels,16.0,,Chrome,2.16 GHz Intel Celeron,1,2.16 GHz,2 GB,11.6in
a45,ASUS ROG Zephyrus GX501 15.6” Full-HD 120Hz Ultra-portable Gaming Laptop GTX 1080 Intel Core i7 512GB PCIe SSD 16GB DDR4,$2588.99,,Asus,1920 x 1080 pixels,512.0,,Windows 10 Pro,2.8 GHz Intel Core i7,4,2.8 GHz,16 GB,15.6in
a46,Acer Predator 17 Gaming Laptop Core i7 GeForce GTX 1070 17.3 Full HD G-SYNC 16GB DDR4 256GB SSD 1TB HDD G9-793-79V5,$1599.99,3 hours,Acer,1920 x 1080 pixels,128,,Windows 10,2.8 GHz Intel Core i7,1,2.8 GHz,16 GB,17.3in
a47,Apple MacBook Pro MLH12LL/A 13-inch Laptop with Touch Bar 2.9GHz dual-core Intel Core i5 256GB Retina Display Space Gray (Discontinued by Manufacturer),$1409.99,,Apple,2560-by-1600,256,Mac,Mac OS Sierra,2.9 GHz Intel Core i5,1,2.9 GHz,8 GB,13.3in
a48,ASUS ROG Strix GL702VS 17.3 Full HD Ultra Thin and Light Gaming Laptop75HZ G-SYNC Display GeForce GTX 1070 8GB Intel i7-7700HQ 2.8 GHz 12GB DDR4 RAM 128GB SSD + 1TB 7200 rpm HDD,$1529.00,,Asus,1920 x 1080 pixels,128.0,,Windows 10,2.8 GHz Intel Core i7,4,2.8 GHz,12 GB,17.3in
a49,ASUS VivoBook E203NA-YS02 11.6” Featherweight design Laptop Intel Dual-Core Celeron N3350 2.4GHz processor 4GB DDR3 RAM 64GB EMMC Storage App based Windows 10 S,$244.70,10 hours,Asus,1366x768 pixels,64.0,,Windows 10 S,2.4 GHz Celeron N3350,2,2.4 GHz,4 GB,11.6in
a50,ASUS ROG STRIX Gaming Laptop GTX 1050 4GB Intel Core i7 15.6” IPS-Type FHD Display 16GB DDR4 1TB FireCuda SSHD RGB Keyboard GL503VD,$979.00,9 hours,Asus,1920 x 1080 pixels,8.0,,Windows 10,2.8 GHz Intel Core i7,4,2.8 GHz,16 GB,15.6in
a51,ASUS VivoBook S Full HD Laptop Intel Core i7-8550U NVIDIA GeForce MX150 8GB RAM 256GB SSD + 1TB HDD Windows 10 15.6 S510UN-EH76,$919.00,,Asus,1920x1080 pixels,256.0,PC,Windows 10,4 GHz Intel Core i7,4,4 GHz,8 GB,15.6in
a52,ASUS L402WA-EH21 Thin and Light 14” HD Laptop; AMD E2-6110 Quad Core 1.5GHz ProcessorAMD Radeon R2 Graphics4GB RAM32GB eMMC Flash StorageWindows 10 S with FREE 1yr Office 365 Subscription Included,$199.00,,Asus,1366x768 pixels,32.0,,Windows 10 S,1.5 GHz,4,1.5 GHz,4 GB,14in
a53,2018 Newest Acer R11 11.6 Convertible HD IPS Touchscreen Chromebook Intel Celeron Dual Core up to 2.48GHz 4GB RAM 16GB SSD 802.11ac Bluetooth HDMI USB 3.0 Webcam Chrome OS,$272.00,9 hours,Acer,,16 GB,PC,Chrome OS,1.8 GHz Intel Celeron,2,1.8 GHz,4 GB,11.6in
a54,Dell Inspiron i3162-0003BLU 11.6 HD Laptop (Intel Celeron N3060 4GB RAM32 eMMC HDD) Bali Blue,$189.99,9.5 hours,Dell,1366X768 pixels,32,PC,Windows 10,2.48 GHz Celeron N3060,2,2.48 GHz,4 GB,11.6in
a55,Alienware AW17R4-7003SLV-PUS 17 Gaming Laptop (7th Generation Intel Core i7 8GB RAM 256GB SSD + 1TB HDD Silver) with NVIDIA GTX 1060,$1599.00,,Alienware,1920X1080 pixels,256.0,PC; Notebook,Windows 10,3.8 GHz 8032,4,3.8 GHz,8 GB,17.3in
a56,ASUS ZenBook UX550VE-DB71T 15.6-inch NanoEdge FHD touch Laptop (Core i7  GTX 1050Ti  16GB DDR4 PCIE NVMe 512GB SSD Windows 10) Backlit keyboard Fingerprint Reader Black Gaming,$1698.99,14 hours,Asus,1920 x 1080 pixels,512.0,,Windows 10,2.8 GHz Intel Core i7,4,2.8 GHz,16 GB,15.6in
a57,Apple 13.3 MacBook Air 128GB SSD #MQD32LL/A (Version 2017 Model) Starter Bundle,$886.99,,Apple,,128 GB,Mac,Mac OS X,1.8 GHz Intel Core i5-4200U,1,1.8 GHz,8 GB,13.3in
a58,Acer Chromebook 15 CB5-571-C09S (15.6-Inch Full HD IPS 4GB RAM 32GB SSD),$262.99,9 hours,Acer,1920 x 1080 pixels,32.0,,Chrome OS,1.5 GHz Intel Celeron,1,1.5 GHz,4 GB,15.6in
a59,Acer Chromebook 15 CB515-1HT-P39B Pentium N4200 15.6 Full HD Touch 4GB LPDDR4 32GB Storage Pure Silver,$340.00,12 hours,Acer,1920 x 1080 pixels,32.0,Chrome OS,Chrome,2.5 GHz Pentium,4,2.5 GHz,4 GB,15.6in
a60,Acer Swift 3 8th Gen Intel Core i5-8250U 15.6 Full HD 8GB DDR4 256GB SSD Windows 10 Home SF315-51-518S,$699.99,10 hours,Acer,1920 x 1080 pixels,256.0,,Windows 10,1.6 GHz Intel Core i5,4,1.6 GHz,8 GB,15.6in
a61,MSI GL72M 7RDX-800 17.3 Performance Gaming Laptop i7-7700HQ GTX 1050 2G 8GB 128GB SSD+1TB SteelSeries Red KB,$849.00,,MSI,1920x1080 pixels,128.0,PC,Windows 10 Home,3.8 GHz Intel Core i7,1,3.8 GHz,8 GB,17.3in
a62,2018 Dell Inspiron 13 5000 2-in-1 13.3 inch Full HD Touchscreen Flagship Backlit Keyboard Laptop PC Intel Core i7-8550U Quad-Core 8GB DDR4 256GB SSD 2 USB 3.1 Windows 10,$757.99,,Dell,,256 GB,PC,Windows 10,4 GHz Intel Core i7,4,4 GHz,12 GB,13.3in
a63,ASUS Chromebook Flip C213SA-YS02 11.6 inch Ruggedized & Spill Proof Touchscreen Intel Dual-Core Apollo Lake N3350  4GB DDR4 RAM 32GB Flash Storage USB Type-C Supports Android Apps,$326.15,12 hours,Asus,1366x768,32,,Chrome,2.4 GHz 8032,2,2.4 GHz,4 GB,11.6in
a64,HP Flagship 15.6 HD Touchscreen Signature Laptop - Intel Core i3-7100u 2.40 GHz 8 GB DDR4 Memory 1 TB HDD DVD Burner HDMI HD Webcam Bluetooth Win 10,$449.00,,hp,1366 x 768,1 TB,,Windows 10,Intel,2,2.7 GHz,8 GB,15.6in
a65,HP Touchscreen 15.6 inch HD Notebook (2018 Newest) Latest Intel Core i5-8250U Processor up to 3.40 GHz 8GB DDR4 2TB Hard Drive Optical Drive Webcam Backlit Keyboard Bluetooth Windows 10 Home,$569.90,6 hours,HP,1366 x 768,1 TB,PC,Windows 10,1.8 GHz Intel Core i7,4,1.8 GHz,8 GB,15.6in
a66,Dell i7577-7425BLK-PUS Inspiron UHD Display Gaming Laptop - 7th Gen Intel Core i7 GTX 1060 6GB Graphics 16GB Memory 128GB SSD + 1TB HDD 15.6 Matte Black,$1266.47,,Dell,3840 x 2160 pixels,128.0,PC,Windows 10,3.8 GHz 8032,4,3.8 GHz,16 GB,15.6in
a67,Acer Chromebook R 13 Convertible 13.3-inch  Full HD Touch MediaTek MT8173C 4GB LPDDR3 32GB Chrome CB5-312T-K5X4,$365.06,12 hours,Acer,1920 x 1080 pixels,32.0,PC,Chrome,2.1 GHz MediaTek_MT8127,1,2.1 GHz,4 GB,13.3in
a68,ASUS GX501VS-XS71  ROG Zephyrus GX501 15.6” Full-HD 120Hz Ultra-portable Gaming Laptop GTX 1070 Intel Core i7 256GB PCIe SSD 16GB DDR4,$1979.99,,Asus,1920 x 1080 pixels,256.0,,Windows 10 Pro,2.8 GHz Intel Core i7,4,2.8 GHz,16 GB,15.6in
a69,ASUS VivoBook 15 X510UQ Thin and Lightweight FHD Gaming Laptop Intel Core i7-7500U Processor NVIDIA GeForce 940MX Graphics 8GB DDR4 RAM 1TB HDD USB Type-C NanoEdge WideView Display Windows 10,$749.00,,Asus,1920x1080 pixels,1000 GB,,Windows 10,2.7 GHz Core i7 7500U,2,2.7 GHz,8 GB,15.6in
a70,HP Pavilion Laptop PC Notebook Intel Core i3-7100U 8GB DDR4 1TB HDD 15.6 HD touchscreen DVD-Writer Card Reader WIFI Bluetooth Windows 10,$425.00,8 hours,HP,1366 x 768,1 TB,PC,Windows 10,2.4 GHz Intel Core i3,2,2.4 GHz,8 GB,15.6in
a71,Microsoft Surface Laptop (Intel Core i5 8GB RAM 256GB) - Platinum,$1179.00,,Microsoft,2256x1504 pixels,256,,Windows 10 S,3.1 GHz Intel Core i5,2,3.1 GHz,8 GB,13.5in
a72,MSI GL62M 7RDX-1408 15.6 Full HD Thin & Light Performance Gaming Laptop Computer Quad Core i7-7700HQ GeForce GTX 1050 2G Graphics 8GB DRAM 128GB SSD+1TB Hard Drive SteelSeries Red Backlit KB,$799.00,,MSI,1920x1080 pixels,128.0,PC,Windows 10 Home,3.8 GHz Intel Core i7,1,3.8 GHz,8 GB,15.6in
a73,Lenovo Ideapad 15.6 HD Premium High Performance Laptop (2017 Newest) AMD A12-9720P Quad core processor 2.7GHz 8GB DDR4 1TB HDD DVD Webcam WiFiBluetooth Windows 10 Platinum gray,$387.00,,Lenovo,1366 x 768,1 TB,PC,Windows 10,2.5 GHz Intel Core i5,2,2.5 GHz,8 GB,15.6in
a74,HP Chromebook 11 G5 11.6 Celeron 4GB 16GB X9U02UT,$161.99,12.83 hours,HP,1366 x 768 pixels,16.0,Chrome OS,Chrome,1.6 GHz Intel Celeron,2,1.6 GHz,4 GB,11.6in
a75,Newest Lenovo 320 Business Premium Laptop PC 15.6 FHD(1920x1080) Display Intel i7-7500U 2.7GHz Processor 12GB DDR4 RAM 256GB SSD NVIDIA GeForce 940MX Dolby Audio HDMI Bluetooth DVD±R/RW Windows 10,$759.00,,Lenovo,,256 GB,PC,Windows 10,2.7 GHz Intel Core i7,4,2.7 GHz,16 GB,15.6in
a76,Alienware Gaming Laptop 15.6 Full HD Intel Core i7-7700HQ 16GB DDR4 RAM 256GB SSD + 1TB HDD GeForce GTX 1070 VR Ready Silver AW15R3-7003SLV-PUS,$1998.11,,Alienware,1920X1080 pixels,256.0,PC; Notebook,Windows 10,3.8 GHz Intel Core i7,4,3.8 GHz,16 GB,15.6in
a77,2017 HP 17.3 Business Flagship Laptop PC HD+ WLED-backlit Display Intel i3-7100U Processor 8GB DDR4 RAM 1TB HDD Intel 520 Graphics DVD-RW 802.11AC Wifi Webcam HDMI Windows 10-Silver,$499.00,9 hours,HP,1366x768,8 GB,PC,Windows 10,2.9 GHz Intel Core i3,2,2.9 GHz,8 GB,17.3in
a78,LG gram Thin & Light Laptop - 15.6 FHD IPS Touch Core i7 (8th Gen) 16GB RAM 1TB SSD 2.5lbs Up to 16.5 hrs Thunderbolt 3 Finger Print Reader Windows 10 Home - 15Z980-R.AAS9U1 (2018 model),$1999.00,,LG,1920 x 1080 pixels,1000.0,,Windows 10,1.8 GHz Intel Core i7,4,1.8 GHz,16 GB,15.6in
a79,HP Spectre x360-15 Quad Core(8th Gen. Intel i7-8550U 16GB DDR4 512GB PCIe NVMe SSD 4K IPS eDP 3840x2160 NVIDIA GeForce MX150 GDDR5 Windows 10)Bang & Olufsen MS Ink 15.6 Convertible 2-in-1,$1569.55,,HP,3840x2160,512 GB,PC,Windows 10,1.8 GHz Intel Core i7,4,1.8 GHz,16 GB,15.6in
a80,2018 HP Flagship High Performance 15.6 inch HD Laptop PC Intel 8th Gen Core i5-8250U Quad-Core 12GB DDR4 2TB HDD DVD WIFI Bluetooth Windows 10 Jet Black,$559.00,8 hours,HP,1366x768,2 TB,PC,Windows 10,1.6 GHz Intel Core i5,4,1.6 GHz,12 GB,15.6in
a81,2018 Lenovo ideapad 320 15.6 LED-backlit Display Laptop Intel Celeron N3350 Dual-Core Processor 4GB RAM 1TB HDD DVD-RW WIFI Bluetooth HDMI Intel HD Graphics 500 Windows 10 Blue,$272.95,5 hours,Lenovo,1366x768,1 TB,PC,Windows 10,1.6 GHz Intel Celeron,2,1.6 GHz,4 GB,15.6in
a82,ASUS Transformer Book T101HA-C4-GR 10.1-Inch 2-in-1 Ultraportable Laptop with Intel Core X5 1.44 GHz 4GB 64GB HD Windows 10 Touchscreen Gray,$318.98,11 hours,Asus,1280 x 800 pixels,64.0,,Windows 10,1.44 GHz None,4,1.44 GHz,4 GB,10.1in
a83,Acer Aspire E15 High Performance 15.6? Full HD Laptop (2018 Edition) 7th Gen Intel Core i7-7500U Process up to 3.50 GHz 8GB DDR4 RAM 1TB HDD USB-C 3.1 Bluetooth HDMI Webcam Win 10,$534.00,6 hours,Acer,1920x1080,1 TB,PC,Windows 10,2.7 GHz Intel Core i7,2,2.7 GHz,8 GB,15.6in
a84,Newest HP 14-inch Chromebook HD SVA (1366 x 768) Display Intel Dual Core Celeron N2840 2.16GHz 4GB DD3L RAM 16GB eMMc Hard Drive Bluetooth HDMI Stereo speakers HD Webcam Google Chrome OS,$268.00,9 hours,HP,,16 GB,PC,Chrome OS,2.16 GHz Intel Celeron,2,2.16 GHz,4 GB,14in
a85,Dell i5378-3031GRY-PUS Inspiron 13.3 2-in-1 Laptop (7th Gen Core i3 (up to 2.40 GHz) 4GB 1TB HDD) Intel HD Graphics 620 Theoretical Gray,$424.99,,Dell,1920 x 1080 pixels,1000 GB,PC,Windows 10 Home 64bit English,2.14 GHz 8032,2,2.14 GHz,4 GB,13.3in
a86,ASUS FX503VD 15.6” FHD Powerful Gaming Laptop Intel Core i5-7300HQ Quad-core 2.5GHz (Turbo up to 3.5GHz) Processor GTX 1050  1TB FireCuda SSHD 8GB DDR4 Windows 10 Home,$749.99,,Asus,1920x1080 pixels,8.0,,Windows 10,3.5 GHz 8032,4,3.5 GHz,8 GB,15.6in
