#a_id,w_id,product title,amazon_price,walmart_price,brand,hard disk size,operating system,processor (cpu) manufacturer,processor count,processor speed,ram size,screen size
a1013,w2389,Dell 66TXP Latitude 5580 Laptop 15.6 FHD Intel Core i5-7300U 8GB DDR4 256GB Solid State Drive Windows 10 Pro,1073.0,1074.0,Dell,256.0,Windows 10,Intel,2,2.6,8.0,15.6
a102,w1746,ASUS Chromebook C300SA Compact 13.3 Inch (Intel Celeron 4GB 16GB eMMC Black),199.99,244.0,Asus,16.0,Chrome,Intel,2,1.6,4.0,13.3
a1021,w2354,Acer Spin 3 SP315-51-54MW Intel Core i5 6th Gen 6200U (2.30 GHz) 8 GB Memory 256 GB SSD 15.6 Touchscreen 1920 x 1080 2-in-1 Laptop Windows 10 Home 64-Bit,574.9,879.0,Acer,256.0,Windows 10,Intel,2,2.3,8.0,15.6
a1022,w36,Dell i5368-10024GRY 13.3 FHD 2-in-1 Laptop (Intel Core i7-6500U 2.5GHz Processor 8 GB RAM 256 GB SDD Windows 10 Microsoft Signature Image) Gray,699.0,349.0,Dell,256.0,Windows 10,Intel,2,2.5,8.0,13.3
a1027,w1097,CTL J5 Chromebook 11.6 1366 x 768 HD LED 16:9 IPS 2-in-1 Convertible 10 Point Touch N3060 4GB NBCJ5,292.97,264.81,CTL,32.0,Chrome,Intel,1,2.48,4.0,11.6
a103,w2418,ASUS ZenBook UX303UA 13.3-Inch FHD Touchscreen Laptop Intel Core i5 8 GB RAM 256 GB SSD Windows 10 (64 bit),729.99,699.99,Asus,256.0,Windows 10,Intel,2,2.3,8.0,13.3
a103,w996,ASUS ZenBook UX303UA 13.3-Inch FHD Touchscreen Laptop Intel Core i5 8 GB RAM 256 GB SSD Windows 10 (64 bit),729.99,899.0,Asus,256.0,Windows 10,Intel,2,2.3,8.0,13.3
a1031,w4480,Acer Laptop 15.6 Intel Core i5 3.40GHz 8GB Ram 256GB SSD Windows 10 (Certified Refurbished),463.99,487.19,Acer,256.0,Windows 10,Intel,4,1.6,8.0,15.6
a1047,w1387,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,849.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1392,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,949.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1400,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,849.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1412,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,949.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1415,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,849.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1419,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,849.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1421,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,849.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1425,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,849.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1426,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,849.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1440,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,849.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1443,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,849.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1459,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,849.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1467,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,949.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1480,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,849.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1485,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1399.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1487,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,899.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1488,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1249.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1493,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,999.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1497,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1099.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1501,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1399.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1510,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1249.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1511,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,949.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1514,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,999.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1519,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,949.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1524,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1299.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1536,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,999.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1540,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1049.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1541,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1049.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1543,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1099.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1544,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1099.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1545,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1099.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1547,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1149.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1548,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1149.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1549,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1149.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1550,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1149.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1553,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1199.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1554,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1199.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1555,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1199.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1557,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1199.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1560,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1249.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1561,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1249.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1562,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1249.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1563,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1249.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1564,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1249.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1567,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1299.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1568,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1299.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1569,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1299.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1570,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1349.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1572,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1399.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1573,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1399.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1575,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1399.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1576,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1399.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1579,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1449.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1580,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1449.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1581,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1449.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1582,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1449.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1583,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1449.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1588,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1499.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1589,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1499.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1590,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1499.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1601,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1549.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1602,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1549.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
a1047,w1603,PROSTAR Clevo Gaming Laptop N850HP6 15.6” FHD IPS (1920x1080) LED Matte Type Display Intel Core i7-7700HQ 16GB DDR4 GTX 1060 120GB SSD 1TB HDD Windows 10 Home Wi-Fi+Bluetooth 1-Year Warranty,1199.0,1549.0,Prostar,1000.0,Windows 10,Intel,4,2.8,16.0,15.6
