id,left_id,left_model,left_extended_title,right_id,right_model,right_extended_title
21,a1004,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,w1962,20gl0008us,lenovo thinkpad 13 chromebook 20gl 20gl0008us thinkpad 13 chromebook 20gl 20gl0008us os
22,a1004,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,w2742,20gl0002us,lenovo thinkpad 13 chromebook 13.3 core i3 6100u 4 gb 16 gb ssd 20gl0002us os
23,a1004,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,w2889,20gl0005us,lenovo thinkpad 13 chromebook 13.3 core i5 6300u 8 gb 32 gb ssd 20gl0005us os
24,a1004,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,w297,20hu0000us,lenovo thinkpad yoga 11e 11.6 core i3 7100u 8 gb 128 gb ssd 20hu0000us windows 
25,a1004,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,w836,20hy0000us,lenovo thinkpad yoga 11e chromebook 11.6 celeron n3450 4 gb 32 gb ssd 20hy0000us os
26,a1004,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,w856,20gl0008us,lenovo thinkpad 13 chromebook 13.3 core i3 6100u 4 gb 16 gb ssd 20gl0008us os
27,a1010,t8tjg,acer aspire 15.6 1920x1080 2018 7th gen intel core i5 7200u 2.50 ghz nvidia geforce 940mx 2gb 8 gb 1tb hdd 802.11ac hdmi usb c hd media win 10 acer i5 1tb 8gb 15.6 t8tjg windows,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
28,a1011,t8tjg,2018 lenovo thinkpad 11e 4h 11.6 intel i3 7100u 128gb m.2 ssd 4gb ddr4 802.11ac win10 t8tjg windows,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
29,a1013,66txp,dell 66txp latitude 5580 15.6 fhd intel core i5 7300u 8gb ddr4 256gb solid state windows 10 ,w2265,lati35802t78m,dell latitude 3580 15.6 hd intel core i5 7200u 8gb ddr4 128gb solid state windows 10 lati35802t78m
30,a1013,66txp,dell 66txp latitude 5580 15.6 fhd intel core i5 7300u 8gb ddr4 256gb solid state windows 10 ,w2389,66txp,dell latitude 5580 15.6 core i5 7300u 8 gb 256 gb ssd 66txp windows 10
31,a102,c300sa dh02,asus chromebook c300sa compact 13.3 intel celeron 4gb 16gb emmc asus c300sa dh02,w1746,c300sa dh02,c300sa dh02 cel n3060 4gb 16gb 13.3in chrome asus chrome
32,a102,c300sa dh02,asus chromebook c300sa compact 13.3 intel celeron 4gb 16gb emmc asus c300sa dh02,w1834,,asus chromebook c300sa dh02 lb 13.3 intel celeron n3060 1.6ghz 4gb lpddr3 16gb emmc tpm usb3.0 chrome os
33,a102,c300sa dh02,asus chromebook c300sa compact 13.3 intel celeron 4gb 16gb emmc asus c300sa dh02,w1915,c300sa ds02 lb,c300sa ds02 lb n3060 1.6g 4gb 16gb 13.3in no touch scrn chrome asus chrome
34,a102,c300sa dh02,asus chromebook c300sa compact 13.3 intel celeron 4gb 16gb emmc asus c300sa dh02,w1924,c300sa wh04,asus c300sa 13.3 chromebook chrome intel celeron n3060 4gb 32gb emmc c300sa wh04
35,a1021,8.89e 11,acer spin 3 sp315 51 54mw intel core i5 6th gen 6200u 2.30 ghz 8 gb 256 gb ssd 15.6 touchscreen 1920 x 1080 2 1 windows 10 8.89e 11,w2354,8.89e 11,acer aspire r 15 r5 571tg 78g8 15.6 fhd touch 7th gen i7 7500u 940mx 12gb 1tb 8.89e 11 microsoft windows windows 10
36,a1022,i5368 10024gry,dell i5368 10024gry 13.3 fhd 2 1 intel core i7 6500u 2.5ghz 8 gb 256 gb sdd windows 10 microsoft ,w280,i5368 10025gry,dell inspiron i5368 10025gry 2 1 pc intel core i5368 10025gry windows edition
37,a1022,i5368 10024gry,dell i5368 10024gry 13.3 fhd 2 1 intel core i7 6500u 2.5ghz 8 gb 256 gb sdd windows 10 microsoft ,w36,i5368 1692gry,refurbished dell i5368 1692gry 13.3 fhd 2 1 intel core i3 6100u 2.3ghz 4 gb 1 tb hdd windows 10 i5368 1692gry
38,a1027,nbcj5,ctl j5 chromebook 11.6 1366 x 768 hd 16 9 ips 2 1 convertible 10 point touch n3060 4gb nbcj5 os,w1097,nbcj5,ctl nbcj5 11.6 touchscreen chromebook w intel celeron n3060 & 32gb corp nbcj5 os
39,a1029,t8tjg,hp 455 g3 15.6 hd probook pc amd a10 8700p quad core radeon r6 16gb ddr3 1tb hdd rw rj 45 windows 10 t8tjg,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
40,a103,ux303ua dh51t,asus zenbook ux303ua 13.3 fhd touchscreen intel core i5 8 gb 256 gb ssd windows 10 asus ux303ua dh51t,w2418,ux303ua dh51t,i5 6200u 8gb 256gb 13.3in touch w10 asus ux303ua dh51t windows
41,a1031,a515 51 596k,acer 15.6 intel core i5 3.40ghz 8gb 256gb ssd windows 10 a515 51 596k home,w2593,nx.gk9aa.025,acer 15.6 intel core i5 2.5ghz 8 gb 256gb ssd windows 10 sp315 51 579m nx.gk9aa.025
42,a1031,a515 51 596k,acer 15.6 intel core i5 3.40ghz 8gb 256gb ssd windows 10 a515 51 596k home,w4480,nx.gtpaa.002,refurbished acer 15.6 intel core i5 3.40ghz 8gb 256gb ssd windows 10 nx.gtpaa.002
43,a1036,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,w155,1bs68ut#aba,hp probook x360 11 g1 education 11.6 celeron n3350 4 gb 128 gb ssd 1bs68ut#aba unknown
44,a1036,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,w157,1bs69ut#aba,hp probook x360 11 g1 education 11.6 pentium n4200 4 gb 128 gb ssd 1bs69ut#aba windows 10
45,a1036,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,w1803,1bs54ut#aba,hp elitebook 850 g4 15.6 core i7 7600u 16 gb 256 gb ssd 1bs54ut#aba windows 10 
46,a1036,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,w60,1bs95ut#aba,hp elitebook x360 1030 g2 13.3 core i5 7200u 8 gb 128 gb ssd 1bs95ut#aba windows
47,a1036,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,w644,1bs35ut#aba,hp zbook 15u g4 15.6 core i7 7500u 16 gb 512 gb ssd 1bs35ut#aba windows 10
48,a1036,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,w731,1bs55ut#aba,hp elitebook 850 g4 15.6 core i7 7600u 8 gb 256 gb ssd 1bs55ut#aba windows 10 
49,a1036,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,w758,1bs76ut#aba,hp chromebook 11 g5 education 11.6 celeron n3060 4 gb 16 gb ssd 1bs76ut#aba
50,a1036,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,w871,1bs77ut#aba,hp chromebook 11 g5 education 11.6 celeron n3060 4 gb 32 gb ssd us 1bs77ut#aba os
51,a1036,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,w907,1bt06ut#aba,hp x2 612 g1 12 core i5 7y54 8 gb 256 gb ssd us hp x2 612 travel 1bt06ut#aba windows 10
52,a1036,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,w941,1bs50ut#aba,hp elitebook 850 g4 15.6 core i5 7300u 8 gb 256 gb ssd 1bs50ut#aba windows 10
53,a1036,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,w944,1ge46ut#aba,hp elitebook 840 g4 14 core i7 7600u 8 gb 256 gb ssd 1ge46ut#aba windows 10
54,a1038,t8tjg,newest 2018 dell inspiron 13 5000 2 1 13.3 full hd touchscreen pc intel core i7 8550u quad core 8gb ddr4 256gb ssd hdmi windows 10 t8tjg,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
55,a104,t8tjg,2017 hp 15.6 pc amd a12 9700p apu quad core 8gb ddr4 1tb hdd rw amd radeon r7 window 10 t8tjg windows,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
56,a1043,t8tjg,hp 17.3 hd amd dual core a9 9420 apu 3.0ghz 4gb ddr4 1tb hdd amd radeon r5 usb 3.1 hdmi gigabit ethernet windows 10 t8tjg,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
57,a1044,80xb000bus,lenovo flex 5 15.6 full hd touch multimode 2 1 intel core i7 7500u 16gb 512gb ssd nvidia geforce 940mx windows 10 80xb000bus,w915,80ys000bus,topseller n23 n3060 1.60g 4gb 32gb 11.6in hd chrome lenovo 80ys000bus chrome os
58,a1045,t8tjg,2017 hp 17.3 hd wled backlight 7th gen intel core i7 7500u 8gb 1tb hdd windows 10 t8tjg,w2245,2017,2017 hp 17.3 hd wled backlight pc intel core i5 8gb ddr4 1tb hdd usb 3.1 hdmi rw windows 10 
59,a1045,t8tjg,2017 hp 17.3 hd wled backlight 7th gen intel core i7 7500u 8gb 1tb hdd windows 10 t8tjg,w2530,,2017 hp 17.3 hd wled backlight pc intel core i5 8gb ddr4 1tb hdd usb 3.1 hdmi rw windows 10 
60,a1045,t8tjg,2017 hp 17.3 hd wled backlight 7th gen intel core i7 7500u 8gb 1tb hdd windows 10 t8tjg,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
61,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1387,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050 120gb ssd windows 10 wi fi 1 n855hj microsoft 
62,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1392,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050ti 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
63,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1400,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050 1tb hdd windows 10 wi fi 1 n855hj microsoft 
64,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1412,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050ti 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
65,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1415,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050 128gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft 
66,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1419,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 32gb ddr4 gtx 1050 1tb hdd windows 10 wi fi 1 n855hj microsoft 
67,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1421,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1060 120gb ssd windows 10 wi fi 1 n850hp6 microsoft 
68,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1425,n850hk1,prostar clevo n850hk1 15.6” fhd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050ti 120gb ssd windows 10 wi fi 1 n850hk1 microsoft 
69,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1426,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 1tb hdd windows 10 wi fi 1 n855hj microsoft 
70,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1440,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 n850hp6 microsoft
71,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1443,n850hk1,prostar clevo n850hk1 15.6” fhd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050ti 120gb ssd 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
72,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1459,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 256gb nvme ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft 
73,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1467,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050ti 512gb ssd windows 10 wi fi 1 n850hk1 microsoft 
74,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1480,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 128gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft 
75,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1485,p650hp6 g,prostar clevo p650hp6 g vr ready 15.6 fhd ips g sync intel core i7 7700hq 8gb ddr4 gtx 1060 1tb hdd windows 10 wi fi 1 p650hp6 g microsoft 
76,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1487,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050 120gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft 
77,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1488,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050ti 512gb ssd 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
78,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1493,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050ti 128gb ssd 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
79,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1497,n850hk1,prostar clevo n850hk1 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050ti 250gb ssd windows 10 wi fi 1 n850hk1 microsoft
80,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1501,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 32gb ddr4 gtx 1060 250gb ssd windows 10 wi fi 1 n850hp6 microsoft
81,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1510,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 500gb ssd windows 10 wi fi 1 n850hp6 microsoft
82,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1511,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 120gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft
83,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1514,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 250gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft
84,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1519,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 250gb ssd windows 10 wi fi 1 n855hj microsoft
85,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1524,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 32gb ddr4 gtx 1050ti 256gb nvme ssd 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
86,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1536,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 256gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft 
87,a1047,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1540,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 500gb ssd windows 10 wi fi 1 n855hj microsoft
