x,id,label,left_id,left_model,left_extended_title,right_id,right_model,right_extended_title
199,2944,1,a1919,,lenovo thinkpad t470s windows 10 intel core i7 7500u 16gb 512gb ssd 14 ips fhd 1920x1080 ,w3368,,lenovo thinkpad t460s windows 7 intel core i7 6600u 12gb 1tb ssd 14 ips wqhd 2560x1440 
173,2575,0,a1831,1bs33ut#aba,hp zbook 15u g4 15.6 windows intel core i7 2.7 ghz 8 gb 256 gb ssd amd firepro w4190m space 1bs33ut#aba 10,w155,1bs68ut#aba,hp probook x360 11 g1 education 11.6 celeron n3350 4 gb 128 gb ssd 1bs68ut#aba unknown
289,4518,1,a2426,20fcs5f100,lenovo thinkpad x1 carbon 4 20fc intel core i5 6300u 256gb ssd 8gb 14 fhd ips 1920x1080 ac wifiwindows 7 win 10 20fcs5f100,w3337,,lenovo thinkpad x1 carbon 4 windows 7 intel core i7 6600u 1tb nvme ssd 16gb 14 wqhd ips 2560x1440 intel hd 520 
246,3749,1,a2071,80sf001fus,lenovo n22 80sf001fus 11.6 chromebook intel celeron n3060 dual core 1.60 ghz 4gb 16gb emmc chrome ,w1790,80sf0000us,refurbished lenovo n22 80sf0000us chromebook pc 80sf0000us
441,6795,1,a900,lenovo thinkpad p51 workstation,lenovo thinkpad p51 15.6 intel i7 quad core 32gb 512gb ssd 15.6 fhd 1920x1080 ips nvidia quadro m1200m win 10 windows 64 bit,w3484,len 15 01217 p71me14,lenovo thinkpad p51s 15.6 intel i7 32gb 4tb ssd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 len 15 01217 p71me14 microsoft windows
383,5999,1,a457,lenovo thinkpad p51 workstation,lenovo thinkpad p51 15.6 intel i7 quad core 16gb 512gb ssd 15.6 fhd 1920x1080 ips nvidia quadro m1200m win 10 windows 64 bit,w3333,len 15 01217 p71me11,lenovo thinkpad p51s 15.6 intel i7 16gb 2tb ssd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 len 15 01217 p71me11 microsoft windows
299,4672,1,a2439,,lenovo thinkpad t470s windows 10 intel core i7 7600u 12gb 512gb ssd 14 ips fhd 1920x1080 ,w3263,,lenovo thinkpad t460s touch windows 10 intel core i7 6600u 8gb 1tb ssd 14 ips fhd 1920x1080 touchscreen 
108,1517,0,a1391,dell,2018 dell inspiron 15 5000 5577 15.6 fhd 1080p intel core i5 7300hq 2.5ghz 16gb 256gb ssd 1tb hdd nvidia gtx 1050 4gb windows 10 dell,w2701,dell,refurbished dell latitude e5440 intel core i5 1.9ghz 8gb 320gb rom windows 10 
344,5307,1,a2747,hp pavilion,2018 hp pavilion 15.6 fhd ips intel quad core i7 8550u 8gb ddr4 256gb ssd 4gb nvidia geforce 940mx b&o usb c win 10 windows 64 bit,w1509,hp pavilion 15t t9y85av,hp pavilion 15t uhd 4k touchscreen i7 quad core 16gb nvidia geforce 960m 512gb ssd 15.6 uhd 3840 x 2160 touchscreen windows 10 t9y85av 
218,3282,1,a1995,,lenovo thinkpad t470s windows 7 intel core i5 6300u 20gb 512gb ssd 14 ips fhd 1920x1080 professional,w3299,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 12gb 1tb ssd 14 ips fhd 1920x1080 
46,575,1,a1202,md760ll a,apple macbook air md760ll a 13.3 x mavericks,w3633,md313ll a,apple macbook md313ll a 13.3 
363,5628,0,a2899,t8tjg,top asus 13.3 2 1 touchscreen fhd convertible 7th intel core i5 7200 6gb ddr4 1tb hdd 802.11ac hdmi windows 10 t8tjg,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
300,4676,1,a2439,,lenovo thinkpad t470s windows 10 intel core i7 7600u 12gb 512gb ssd 14 ips fhd 1920x1080 ,w3267,,pcie touch lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 256gb nvme ssd 14 ips fhd 1920x1080 touchscreen 
296,4651,1,a2439,,lenovo thinkpad t470s windows 10 intel core i7 7600u 12gb 512gb ssd 14 ips fhd 1920x1080 ,w3242,,pcie lenovo thinkpad t460s windows 8.1 intel core i7 6600u 12gb 512gb nvme ssd 14 ips fhd 1920x1080 
73,954,0,a1323,nx.ml8aa.004,acer aspire e5 571 588m 15.6 intel core i5 4210u 1.7ghz 4gb 500gb hdd windows 8.1 midnight nx.ml8aa.004 8 ,w1817,nx.ge8aa.004,manufacturer acer cp5 471 312n 14 chromebook chrome intel core i3 6100u 8gb 32gb nx.ge8aa.004
137,1937,1,a1672,hp pavilion 15 au067cl,hp pavilion 15.6 touchscreen intel i5 6200u 8gb ddr4 1tb hdd 802.11ac b&o windows 10 15 au067cl,w1559,hp pavilion 15t t9y85av,hp pavilion 15t full hd touchscreen intel i7 quad core 16gb nvidia geforce 960m 2tb hdd 128gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 t9y85av 
430,6623,1,a85,i5378 3031gry pus,dell i5378 3031gry pus inspiron 13.3 2 1 7th gen core i3 2.40 ghz 4gb 1tb hdd intel hd 620 windows 10 64bit english,w224,i5578 3052gry pus,dell inspiron 15 i5578 3052gry pus 15.6 full hd 2 1 convertible touchscreen intel i3 7100u 8gb 1tb hdd windows
35,431,1,a1138,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,w3413,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 1tb nvme ssd 14 ips fhd 1920x1080 
394,6155,0,a537,t8tjg,dell xps 13 9360 8th gen intel i7 8550u13.3 qhd wled touch thunderbolt usb c finger print 512gb ssd 16gb win 10 t8tjg windows pro,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
29,377,1,a1138,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,w3327,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 
181,2700,0,a1879,v1h18ut#aba,hp elitebook 850 g3 pc v1h18ut#aba intel i5 6200u 8gb 256gb ssd 15.6 fhd win10 pro64 windows 7 professional,w921,v1h65ut#aba,hp zbook 15u g3 15.6 core i7 6500u 16 gb 512 gb ssd v1h65ut#aba windows 10 
327,4970,0,a2530,hp 15.6 hd laptop,hp 15.6 hd intel i3 kaby lake 8gb 2tb hdd 15.6 hd 1366x768 win 10 hp,w400,hp envy x360 15t fhd touch laptop,hp envy x360 convertible 15t fhd touch 2 1 tablet intel i7 32gb 1tb hdd 128gb ssd 15.6 fhd 1920 x 1080 touchscreen win 10 envy 15t microsoft windows
432,6642,0,a864,i5568 0463gry,dell i5568 0463gry 15.6 fhd 2 1 intel core i3 6100u 2.3ghz 4 gb 500 gb hdd windows 10 ,w36,i5368 1692gry,refurbished dell i5368 1692gry 13.3 fhd 2 1 intel core i3 6100u 2.3ghz 4 gb 1 tb hdd windows 10 i5368 1692gry
51,691,1,a1269,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,w3062,,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 
371,5761,0,a320,dell xps 13 9360 touch laptop,dell xps 13 9360 13.3 infinityedge touchscreen fhd 1920x1080 intel core i5 7200u 256gb nvme m.2 ssd 8gb windows 10 ,w400,hp envy x360 15t fhd touch laptop,hp envy x360 convertible 15t fhd touch 2 1 tablet intel i7 32gb 1tb hdd 128gb ssd 15.6 fhd 1920 x 1080 touchscreen win 10 envy 15t microsoft windows
399,6196,1,a57,t8tjg,apple 13.3 macbook air 128gb ssd #mqd32ll a 2017 starter bundle t8tjg x,w3539,,apple 13.3 macbook air 128gb ssd #mqd32ll a 2017 frosted orange bundle 
217,3255,1,a1995,,lenovo thinkpad t470s windows 7 intel core i5 6300u 20gb 512gb ssd 14 ips fhd 1920x1080 professional,w3252,,lenovo thinkpad t460s windows 10 intel core i7 6600u 12gb 512gb ssd 14 ips wqhd 2560x1440 
440,6764,0,a893,t8tjg,acer intel core i5 7200u 8 gb ddr4 256 gb ssd nvidia geforce 940mx full hd 17.3 1080p windows 10 t8tjg,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
27,372,1,a1138,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,w3318,,pcie touch lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 512gb nvme ssd 14 ips fhd 1920x1080 touchscreen 
2,30,1,a102,c300sa dh02,asus chromebook c300sa compact 13.3 intel celeron 4gb 16gb emmc asus c300sa dh02,w1746,c300sa dh02,c300sa dh02 cel n3060 4gb 16gb 13.3in chrome asus chrome
232,3479,1,a1997,,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,w3234,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 12gb 256gb ssd 14 ips wqhd 2560x1440 
406,6240,1,a621,tp401ca dhm6t,asus vivobook flip 14 tp401ca dhm6t 14” lightweight 2 1 hd touchscreen intel core m3 7y30 2.6ghz 4gb lpddr3 128gb emmc windows 10 asus,w116,tp401na wh21t,used like asus vivobook flip 14 2 1 hd touchscreen intel quad core pentium n4200 2.5ghz 4gb 64gb emmc windows 10 tp401na wh21t microsoft
156,2342,0,a173,dell xps 13 9360 touch laptop,dell xps 13 9360 13.3 infinityedge touchscreen fhd 1920x1080 intel quad core i5 8250u 256gb nvme m.2 ssd 8gb windows 10 ,w383,hp envy x360 15t fhd touch laptop,hp envy x360 convertible 15t fhd touch 2 1 tablet intel i7 32gb 1tb hdd 128gb ssd 15.6 fhd 1920 x 1080 touchscreen win 10 envy 15t microsoft windows
301,4687,1,a2439,,lenovo thinkpad t470s windows 10 intel core i7 7600u 12gb 512gb ssd 14 ips fhd 1920x1080 ,w3283,,lenovo thinkpad t460s touch windows 8.1 intel core i7 6600u 20gb 512gb ssd 14 ips fhd 1920x1080 touchscreen 
425,6535,1,a8,x7s52ua#aba,hp 14 stream intel celeron n3060 4gb 32gb emmc 1 office 365 hdmi x7s52ua#aba windows 10,w2000,x7s45ua#aba,hp stream 14 ax020nr 14 windows 10 office 365 1 intel celeron n3060 4gb 32gb emmc x7s45ua#aba
235,3546,1,a1997,,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,w3345,,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 1tb ssd 14 ips wqhd 2560x1440 
311,4770,1,a2439,,lenovo thinkpad t470s windows 10 intel core i7 7600u 12gb 512gb ssd 14 ips fhd 1920x1080 ,w3417,,pcie touch lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 1tb nvme ssd 14 ips fhd 1920x1080 touchscreen 
138,1942,1,a1672,hp pavilion 15 au067cl,hp pavilion 15.6 touchscreen intel i5 6200u 8gb ddr4 1tb hdd 802.11ac b&o windows 10 15 au067cl,w794,hp pavilion 15t,2016 hp pavilion 15t 15.6 fhd touchscreen intel i5 8gb 512gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 microsoft
212,3178,1,a1995,,lenovo thinkpad t470s windows 7 intel core i5 6300u 20gb 512gb ssd 14 ips fhd 1920x1080 professional,w3092,,lenovo thinkpad t460s touch windows 10 intel core i7 6600u 12gb 256gb ssd 14 ips fhd 1920x1080 touchscreen 
104,1478,0,a1361,1bs51ut#aba,hp elitebook 850 g4 15.6 windows intel core i7 2.7 ghz 8 gb 256 gb ssd 1bs51ut#aba 10 pro,w155,1bs68ut#aba,hp probook x360 11 g1 education 11.6 celeron n3350 4 gb 128 gb ssd 1bs68ut#aba unknown
316,4830,1,a2470,pt581u 003012,toshiba pt581u 003012 tecra a50 d1532 intel core i5 7200u 2.5 ghz ddr4 sdram 8 gb 2 unknown,w2366,pt581u 003012,toshiba tecra a50 d1532 15.6 core i5 7200u 8 gb 256 gb ssd pt581u 003012 windows 10
312,4773,1,a2439,,lenovo thinkpad t470s windows 10 intel core i7 7600u 12gb 512gb ssd 14 ips fhd 1920x1080 ,w3422,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 1tb nvme ssd 14 ips wqhd 2560x1440 
317,4872,1,a2490,hp envy x360 15t ash silver,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 16gb 512gb ssd 15.6 fhd 1920 x 1080 touchscreen win10 ash hp x360 15t,w398,hp 15 02336 x360 fhd me12,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 32gb 1tb hdd 512gb ssd 15.6 fhd 1920 x 1080 touchscreen win10 ash hp 15 02336 x360 fhd me12 microsoft windows
215,3230,1,a1995,,lenovo thinkpad t470s windows 7 intel core i5 6300u 20gb 512gb ssd 14 ips fhd 1920x1080 professional,w3204,,lenovo thinkpad t460s touch windows 10 intel core i7 6600u 20gb 128gb ssd 14 ips fhd 1920x1080 touchscreen 
347,5340,1,a2780,pavilion,cuk hp pavilion 15 power intel quad core i7 7700hq 32gb ddr4 512gb nvme ssd 1tb nvidia gtx 1050 4gb 15.6 full hd windows 10 upgrade king x64 bit,w1578,hp pavilion 15t t9y85av,hp pavilion 15t full hd touchscreen intel i7 quad core 16gb nvidia geforce 960m 2tb hdd 512gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 t9y85av 
189,2831,1,a1919,,lenovo thinkpad t470s windows 10 intel core i7 7500u 16gb 512gb ssd 14 ips fhd 1920x1080 ,w3189,,lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 128gb ssd 14 ips fhd 1920x1080 
254,3923,0,a2139,1fx41ut#aba,hp elitebook 820 g4 12.5 windows intel core i7 2.7 ghz 16 gb 256 gb ssd 1fx41ut#aba 10 pro,w1826,1fx82ut#aba,new hp chromebook 11 g5 ee 11.6 lcd chromebook intel celeron n3060 dual core 2 core 1.60 ghz 4 gb 16 gb chrome 1fx82ut#aba
214,3215,1,a1995,,lenovo thinkpad t470s windows 7 intel core i5 6300u 20gb 512gb ssd 14 ips fhd 1920x1080 professional,w3189,,lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 128gb ssd 14 ips fhd 1920x1080 
204,3075,1,a1951,x9v21ut#aba,x2 210 atm 1.44 10.1 4gb 128gb hp x9v21ut#aba windows professional,w917,x9v20ut#aba,hp x2 210 g2 10.1 atom x5 z8350 4 gb 64 gb ssd x9v20ut#aba windows
234,3517,1,a1997,,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,w3281,,lenovo thinkpad t460s touch windows 10 intel core i7 6600u 20gb 512gb ssd 14 ips fhd 1920x1080 touchscreen 
259,4069,1,a2252,p650hp6 g,prostar clevo p650hp6 g vr ready 15.6 fhd 120hz 5ms g sync intel core i7 7700hq 16gb ddr4 gtx 1060 256gb nvme ssd 1tb hdd windows 10 wi fi 1 prostar,w1412,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050ti 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
67,891,0,a1280,2ua28ut#aba,smart probook 470 g5 2ua28ut#aba unknown,w928,2ue38ut#aba,elitebook x360 1020 g2 i5 7200u 8gb 256gb 12.5 windows 10 touch hp 2ue38ut#aba
24,295,1,a1138,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,w3158,,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 128gb ssd 14 ips wqhd 2560x1440 
216,3245,1,a1995,,lenovo thinkpad t470s windows 7 intel core i5 6300u 20gb 512gb ssd 14 ips fhd 1920x1080 professional,w3237,,lenovo thinkpad t460s windows 7 intel core i7 6600u 12gb 128gb ssd 14 ips wqhd 2560x1440 
223,3400,1,a1997,,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,w3088,,lenovo thinkpad t460s windows 10 intel core i7 6600u 12gb 128gb ssd 14 ips fhd 1920x1080 
129,1827,1,a1594,hp envy x360 15t ash silver,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 32gb 1tb hdd 512gb ssd 15.6 fhd 1920 x 1080 touchscreen win10 ash hp x360 15t,w760,hp envy 15t fhd touch,newest hp envy 15t pc full hd touchscreen intel i7 8 gb 1tb hdd 128 gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 
111,1530,1,a1400,lenovo thinkpad p51 workstation,lenovo thinkpad p51 15.6 intel i7 quad core 32gb 1tb ssd 15.6 fhd 1920x1080 ips nvidia quadro m1200m win 10 windows 64 bit,w2948,len 15 01217 p71me4,lenovo thinkpad p51s 15.6 intel i7 8gb 240gb ssd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 len 15 01217 p71me4 microsoft windows
166,2523,1,a1791,,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 512gb ssd 15.6 fhd 1920x1080 touchscreen win 10 windows,w434,hp 15 02395 fhd me28,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 32gb 2tb hdd 1tb ssd 15.6 fhd 1920x1080 touchscreen win 10 hp 15 02395 fhd me28 microsoft windows
355,5463,1,a2794,,lenovo thinkpad t470s windows 10 intel core i7 7500u 16gb 516gb nvme ssd 14 ips wqhd 2560x1440 ,w3329,,pcie lenovo thinkpad t460s windows 8.1 intel core i7 6600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 
40,505,0,a1164,t8tjg,dell inspiron 2 1 13.3 touch intel core i5 7200u 8gb 256gb solid state dell t8tjg windows 10,w685,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
445,6835,1,a949,17 bs010nr,hp 17 intel pentium n3710 4gb 1tb windows 10 17 bs010nr ,w2018,1kv29ua#aba,hp 17 bs010nr 17.3 windows 10 intel pentium n3710 quad core 4gb 1tb 1kv29ua#aba
79,1016,0,a1329,n870hp6,prostar clevo n870hp6 17.3” full hd ips intel core i7 7700hq 32gb ddr4 gtx 1060 500gb ssd 1tb hdd windows 10 wi fi 1 prostar,w1590,p650hp6 g,prostar clevo p650hp6 g vr ready 15.6 fhd ips g sync intel core i7 7700hq 16gb ddr4 gtx 1060 256gb ssd 1tb hdd windows 10 wi fi 1 p650hp6 g microsoft 
283,4437,1,a2398,,hp 15z touchscreen 15.6 amd dual core a6 9220 apu amd radeon r4 16gb 1tb hdd 15.6 hd sva wled touch 1366 x 768 windows 10 michaelelectronics2,w1232,hp 15 02344 hd me5,hp 15z touchscreen 15.6 amd dual core a6 9220 apu amd radeon r4 16gb 120gb ssd 15.6 hd sva wled touch 1366 x 768 windows 10 hp 15 02344 hd me5 microsoft
