id,product_title,brand,model,operating_system,extended_title
a29,microsoft surface book 13.5 i5 256gb multi touch 2 1 ,microsoft,sx3 00001,windows 10,microsoft surface book 13.5 i5 256gb multi touch 2 1 sx3 00001 windows 10
a30,dell xps 13 9360 13.3 infinityedge touchscreen fhd 1920x1080 intel 8th gen quad core i5 8250u 128gb m.2 ssd 8gb windows 10 silver,dell,dell xps 13 9360 touch laptop,windows 10,dell xps 13 9360 13.3 infinityedge touchscreen fhd 1920x1080 intel 8th gen quad core i5 8250u 128gb m.2 ssd 8gb windows 10 
a31,hp pavilion power gtx 1050 15 full hd intel core i7 7700hq 8gb 128gb ssd 1tb hdd windows 10 15 cb077nr,hp,15 cb077nr,windows 10,hp pavilion power gtx 1050 15 full hd intel core i7 7700hq 8gb 128gb ssd 1tb hdd windows 10 15 cb077nr 
a32,dell inspiron 15 7000 series 7567 15.6 full hd intel core i5 7300hq 1 tb hybrid hdd 8gb ddr4 nvidia gtx 1050 4gb windows 10,pc,dell inspiron i7567,windows 10 home,dell inspiron 15 7000 series 7567 15.6 full hd intel core i5 7300hq 1 tb hybrid hdd 8gb ddr4 nvidia gtx 1050 4gb windows 10 pc i7567 home
a33,hp 15.6 hd vibrant quad core amd e2 7110 apu 1.8ghz 4gb 500gb hdd windows 10,hp,hp 15,windows 10,hp 15.6 hd vibrant quad core amd e2 7110 apu 1.8ghz 4gb 500gb hdd windows 10 hp notebook
a34,asus chromebook flip c101pa db02 10.1inch rockchip rk3399 quad core 2.0ghz 4gb memory16gb all bodylightweight usb c google store ready run android apps touchscreen,asus,c101pa db02,chrome,asus chromebook flip c101pa db02 10.1inch rockchip rk3399 quad core 2.0ghz 4gb memory16gb all bodylightweight usb c google store ready run android apps touchscreen asus
a35,apple mpdl2ll a 13 macbook retina touch bar 3.3ghz intel i7 dual core 16gb 512gb ssd intel iris 550 silver,apple,mpdl2ll a,macos sierra,apple mpdl2ll a 13 macbook retina touch bar 3.3ghz intel i7 dual core 16gb 512gb ssd intel iris 550 macos sierra
a36,razer blade 14 full hd core i7 7700hq 16gb 512tb ssd geforce gtx 1060 vr ready,razer,rz09 01953e72 r3u1,windows 10 home,razer blade 14 full hd core i7 7700hq 16gb 512tb ssd geforce gtx 1060 vr ready rz09 01953e72 r3u1 windows home
a37,hp 15.6 touchscreen pc 2017 7th gen intel core i3 7100u 2.4ghz 8gb ddr4 1tb hdd supermulti windows 10,hp,fba_796000000000,windows 10 64,hp 15.6 touchscreen pc 2017 7th gen intel core i3 7100u 2.4ghz 8gb ddr4 1tb hdd supermulti windows 10 hp fba_796000000000 64
a38,2018 lenovo ideapad 320 15.6 3x faster intel celeron dual core n3350 2.40ghz 4gb 1tb hdd rw hdmibluetooth win 10,lenovo,80xr00agus,windows 10,2018 lenovo ideapad 320 15.6 3x faster intel celeron dual core n3350 2.40ghz 4gb 1tb hdd rw hdmibluetooth win 10 80xr00agus windows
a39,hp pavilion 14 hd 2018 intel core i5 7200u 3.10 ghz 8gb ddr4 1tb no windows 10 home,hp 14 i5 8gb 1tb,hp 14 i5 8gb 1tb,windows 10,hp pavilion 14 hd 2018 intel core i5 7200u 3.10 ghz 8gb ddr4 1tb no windows 10 hp 14 i5 8gb 1tb hp 14 i5 8gb 1tb
a40,2018 hp 15.6 hd touchscreen pc quad core amd a12 3.6ghz 8gb ddr4 sdram 1tb hdd hdmi dvd±rw amd radeon r7 dts studio sound windows 10,hp,hp 15.6 touchscreen,windows 10,2018 hp 15.6 hd touchscreen pc quad core amd a12 3.6ghz 8gb ddr4 sdram 1tb hdd hdmi dvd±rw amd radeon r7 dts studio sound windows 10 hp
a41,asus fx503vd 15.6” fhd powerful intel core i7 7700hq quad core 2.8ghz 3.8ghz 4gb gtx 1050 128gb ssd 1tb hdd 8gb ddr4 windows 10 home,asus computers,fx503vd eh73,windows 10,asus fx503vd 15.6” fhd powerful intel core i7 7700hq quad core 2.8ghz 3.8ghz 4gb gtx 1050 128gb ssd 1tb hdd 8gb ddr4 windows 10 computers fx503vd eh73
a42,asus zenbook ux430ua dh74 slim 14” fhd wideview 8th gen intel core i7 16gb ddr3 512gb ssd windows 10 quartz grey,asus,ux430ua dh74,windows 10,asus zenbook ux430ua dh74 slim 14” fhd wideview 8th gen intel core i7 16gb ddr3 512gb ssd windows 10 quartz asus
a43,lenovo ideapad 15.6 hd pc a6 7310 quad core 4gb 500gb hdd rw hdmi windows 10,lenovo ideapad,lenovo ideapad,windows 10,lenovo ideapad 15.6 hd pc a6 7310 quad core 4gb 500gb hdd rw hdmi windows 10 
a44,acer chromebook cb3 131 c3sz 11.6 intel celeron n2840 dual core processor2 gb ram16 gb solid state drivechrome white,acer,cb3 131 c3sz,chrome,acer chromebook cb3 131 c3sz 11.6 intel celeron n2840 dual core processor2 gb ram16 gb solid state drivechrome 
a45,asus rog zephyrus gx501 15.6” full hd 120hz gtx 1080 intel core i7 512gb ssd 16gb ddr4,asus,gx501vi xs74,windows 10 pro,asus rog zephyrus gx501 15.6” full hd 120hz gtx 1080 intel core i7 512gb ssd 16gb ddr4 asus gx501vi xs74 windows pro
a46,acer predator 17 core i7 geforce gtx 1070 17.3 full hd g sync 16gb ddr4 256gb ssd 1tb hdd g9 793 79v5,acer,g9 793 79v5,windows 10,acer predator 17 core i7 geforce gtx 1070 17.3 full hd g sync 16gb ddr4 256gb ssd 1tb hdd g9 793 79v5 windows
a47,apple macbook mlh12ll a 13 touch bar 2.9ghz dual core intel core i5 256gb retina space ,apple,mlh12ll a,mac sierra,apple macbook mlh12ll a 13 touch bar 2.9ghz dual core intel core i5 256gb retina space sierra
a48,asus rog strix gl702vs 17.3 full hd laptop75hz g sync geforce gtx 1070 8gb intel i7 7700hq 2.8 ghz 12gb ddr4 128gb ssd 1tb 7200 rpm hdd,asus,gl702vs ah73,windows 10,asus rog strix gl702vs 17.3 full hd laptop75hz g sync geforce gtx 1070 8gb intel i7 7700hq 2.8 ghz 12gb ddr4 128gb ssd 1tb 7200 rpm hdd asus gl702vs ah73 windows
a49,asus vivobook e203na ys02 11.6” featherweight intel dual core celeron n3350 2.4ghz 4gb ddr3 64gb emmc app based windows 10 s,asus,e203na ys02,windows 10 s,asus vivobook e203na ys02 11.6” featherweight intel dual core celeron n3350 2.4ghz 4gb ddr3 64gb emmc app based windows 10 s asus
a50,asus rog strix gtx 1050 4gb intel core i7 15.6” ips fhd 16gb ddr4 1tb firecuda sshd rgb gl503vd,asus,gl503vd db71,windows 10,asus rog strix gtx 1050 4gb intel core i7 15.6” ips fhd 16gb ddr4 1tb firecuda sshd rgb gl503vd asus gl503vd db71 windows
a51,asus vivobook s full hd intel core i7 8550u nvidia geforce mx150 8gb 256gb ssd 1tb hdd windows 10 15.6 s510un eh76,asus,s510un eh76,windows 10,asus vivobook s full hd intel core i7 8550u nvidia geforce mx150 8gb 256gb ssd 1tb hdd windows 10 15.6 s510un eh76 asus
a52,asus l402wa eh21 14” hd amd e2 6110 quad core 1.5ghz processoramd radeon r2 graphics4gb ram32gb emmc storagewindows 10 s free 1yr office 365 included,asus,l402wa eh21,windows 10 s,asus l402wa eh21 14” hd amd e2 6110 quad core 1.5ghz processoramd radeon r2 graphics4gb ram32gb emmc storagewindows 10 s free 1yr office 365 asus
a53,2018 acer r11 11.6 convertible hd ips touchscreen chromebook intel celeron dual core 2.48ghz 4gb 16gb ssd 802.11ac hdmi usb 3.0 chrome os,acer,,chrome os,2018 acer r11 11.6 convertible hd ips touchscreen chromebook intel celeron dual core 2.48ghz 4gb 16gb ssd 802.11ac hdmi usb 3.0 chrome 
a54,dell inspiron i3162 0003blu 11.6 hd intel celeron n3060 4gb ram32 emmc hdd bali blue,dell,i3162 0003blu,windows 10,dell inspiron i3162 0003blu 11.6 hd intel celeron n3060 4gb ram32 emmc hdd bali windows 10
a55,alienware aw17r4 7003slv pus 17 7th intel core i7 8gb 256gb ssd 1tb hdd nvidia gtx 1060,alienware,aw17r4 7003slv pus,windows 10,alienware aw17r4 7003slv pus 17 7th intel core i7 8gb 256gb ssd 1tb hdd nvidia gtx 1060 windows
a56,asus zenbook ux550ve db71t 15.6 nanoedge fhd touch core i7 gtx 1050ti 16gb ddr4 nvme 512gb ssd windows 10 gaming,asus,ux550ve db71t,windows 10,asus zenbook ux550ve db71t 15.6 nanoedge fhd touch core i7 gtx 1050ti 16gb ddr4 nvme 512gb ssd windows 10 asus
a57,apple 13.3 macbook air 128gb ssd #mqd32ll a 2017 starter bundle,apple,t8tjg,mac x,apple 13.3 macbook air 128gb ssd #mqd32ll a 2017 starter bundle t8tjg x
a58,acer chromebook 15 cb5 571 c09s 15.6 full hd ips 4gb 32gb ssd ,acer,cb5 571 c09s,chrome os,acer chromebook 15 cb5 571 c09s 15.6 full hd ips 4gb 32gb ssd os
a59,acer chromebook 15 cb515 1ht p39b pentium n4200 15.6 full hd touch 4gb lpddr4 32gb pure silver,acer,cb515 1ht p39b,chrome,acer chromebook 15 cb515 1ht p39b pentium n4200 15.6 full hd touch 4gb lpddr4 32gb pure 
a60,acer swift 3 8th gen intel core i5 8250u 15.6 full hd 8gb ddr4 256gb ssd windows 10 sf315 51 518s,acer,sf315 51 518s,windows 10,acer swift 3 8th gen intel core i5 8250u 15.6 full hd 8gb ddr4 256gb ssd windows 10 sf315 51 518s 
a61,msi gl72m 7rdx 800 17.3 i7 7700hq gtx 1050 2g 8gb 128gb ssd 1tb steelseries kb,msi,gl72m 7rdx 800,windows 10 home,msi gl72m 7rdx 800 17.3 i7 7700hq gtx 1050 2g 8gb 128gb ssd 1tb steelseries kb windows home
a62,2018 dell inspiron 13 5000 2 1 13.3 full hd touchscreen pc intel core i7 8550u quad core 8gb ddr4 256gb ssd 2 usb 3.1 windows 10,dell,t8tjg,windows 10,2018 dell inspiron 13 5000 2 1 13.3 full hd touchscreen pc intel core i7 8550u quad core 8gb ddr4 256gb ssd 2 usb 3.1 windows 10 t8tjg
a63,asus chromebook flip c213sa ys02 11.6 ruggedized & spill proof touchscreen intel dual core apollo lake n3350 4gb ddr4 32gb usb c supports android apps,asus,c213sa ys02,chrome,asus chromebook flip c213sa ys02 11.6 ruggedized & spill proof touchscreen intel dual core apollo lake n3350 4gb ddr4 32gb usb c supports android apps asus
a64,hp 15.6 hd touchscreen intel core i3 7100u 2.40 ghz 8 gb ddr4 1 tb hdd hdmi hd win 10,hp,j9148a,windows 10,hp 15.6 hd touchscreen intel core i3 7100u 2.40 ghz 8 gb ddr4 1 tb hdd hdmi hd win 10 hp j9148a windows
a65,hp touchscreen 15.6 hd 2018 latest intel core i5 8250u 3.40 ghz 8gb ddr4 2tb optical windows 10 home,hp,hp 15.6 touch i5 8250u 8gb 1tb,windows 10,hp touchscreen 15.6 hd 2018 latest intel core i5 8250u 3.40 ghz 8gb ddr4 2tb optical windows 10 hp 15.6 touch i5 8250u 8gb 1tb
a66,dell i7577 7425blk pus inspiron uhd 7th gen intel core i7 gtx 1060 6gb 16gb 128gb ssd 1tb hdd 15.6 black,dell,i7577 7425blk pus,windows 10,dell i7577 7425blk pus inspiron uhd 7th gen intel core i7 gtx 1060 6gb 16gb 128gb ssd 1tb hdd 15.6 windows
a67,acer chromebook r 13 convertible 13.3 full hd touch mediatek mt8173c 4gb lpddr3 32gb chrome cb5 312t k5x4,acer,cb5 312t k5x4,chrome,acer chromebook r 13 convertible 13.3 full hd touch mediatek mt8173c 4gb lpddr3 32gb chrome cb5 312t k5x4 
a68,asus gx501vs xs71 rog zephyrus gx501 15.6” full hd 120hz gtx 1070 intel core i7 256gb ssd 16gb ddr4,asus,gx501vs xs71,windows 10 pro,asus gx501vs xs71 rog zephyrus gx501 15.6” full hd 120hz gtx 1070 intel core i7 256gb ssd 16gb ddr4 asus windows pro
a69,asus vivobook 15 x510uq lightweight fhd intel core i7 7500u nvidia geforce 940mx 8gb ddr4 1tb hdd usb c nanoedge wideview windows 10,asus,x510uq nh71,windows 10,asus vivobook 15 x510uq lightweight fhd intel core i7 7500u nvidia geforce 940mx 8gb ddr4 1tb hdd usb c nanoedge wideview windows 10 asus x510uq nh71
a70,hp pavilion pc intel core i3 7100u 8gb ddr4 1tb hdd 15.6 hd touchscreen windows 10,hp,hp 15,windows 10,hp pavilion pc intel core i3 7100u 8gb ddr4 1tb hdd 15.6 hd touchscreen windows 10 
a71,microsoft surface intel core i5 8gb 256gb platinum,microsoft,dag 00001,windows 10 s,microsoft surface intel core i5 8gb 256gb platinum dag 00001 windows 10
a72,msi gl62m 7rdx 1408 15.6 full hd & quad core i7 7700hq geforce gtx 1050 2g 8gb dram 128gb ssd 1tb steelseries kb,msi,gl62m 7rdx 1408,windows 10 home,msi gl62m 7rdx 1408 15.6 full hd & quad core i7 7700hq geforce gtx 1050 2g 8gb dram 128gb ssd 1tb steelseries kb windows home
a73,lenovo ideapad 15.6 hd 2017 amd a12 9720p quad core 2.7ghz 8gb ddr4 1tb hdd wifibluetooth windows 10 platinum gray,lenovo,lenovo a12 laptop,windows 10,lenovo ideapad 15.6 hd 2017 amd a12 9720p quad core 2.7ghz 8gb ddr4 1tb hdd wifibluetooth windows 10 platinum lenovo a12 laptop
a74,hp chromebook 11 g5 11.6 celeron 4gb 16gb x9u02ut,hp,x9u02ut#aba,chrome,hp chromebook 11 g5 11.6 celeron 4gb 16gb x9u02ut x9u02ut#aba
a75,newest lenovo 320 pc 15.6 fhd 1920x1080 intel i7 7500u 2.7ghz 12gb ddr4 256gb ssd nvidia geforce 940mx dolby hdmi dvd±r rw windows 10,lenovo,t8tjg,windows 10,newest lenovo 320 pc 15.6 fhd 1920x1080 intel i7 7500u 2.7ghz 12gb ddr4 256gb ssd nvidia geforce 940mx dolby hdmi dvd±r rw windows 10 t8tjg
a76,alienware 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd 1tb hdd geforce gtx 1070 vr ready aw15r3 7003slv pus,alienware,aw15r3 7003slv pus,windows 10,alienware 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd 1tb hdd geforce gtx 1070 vr ready aw15r3 7003slv pus windows
a77,2017 hp 17.3 pc hd wled intel i3 7100u 8gb ddr4 1tb hdd intel 520 rw 802.11ac hdmi windows 10 silver,hp,hp 15,windows 10,2017 hp 17.3 pc hd wled intel i3 7100u 8gb ddr4 1tb hdd intel 520 rw 802.11ac hdmi windows 10 hp 15
a78,lg gram & 15.6 fhd ips touch core i7 8th gen 16gb 1tb ssd 2.5lbs 16.5 hrs thunderbolt 3 finger print windows 10 15z980 r.aas9u1 2018 ,lg,15z980 r.aas9u1,windows 10,lg gram & 15.6 fhd ips touch core i7 8th gen 16gb 1tb ssd 2.5lbs 16.5 hrs thunderbolt 3 finger print windows 10 15z980 r.aas9u1 2018 
a79,hp spectre x360 15 quad core 8th gen. intel i7 8550u 16gb ddr4 512gb nvme ssd 4k ips edp 3840x2160 nvidia geforce mx150 gddr5 windows 10 bang & olufsen ms ink 15.6 convertible 2 1,hp,z4z39ua#aba,windows 10,hp spectre x360 15 quad core 8th gen. intel i7 8550u 16gb ddr4 512gb nvme ssd 4k ips edp 3840x2160 nvidia geforce mx150 gddr5 windows 10 bang & olufsen ms ink 15.6 convertible 2 1 z4z39ua#aba
a80,2018 hp 15.6 hd pc intel 8th gen core i5 8250u quad core 12gb ddr4 2tb hdd windows 10 black,hp,,windows 10,2018 hp 15.6 hd pc intel 8th gen core i5 8250u quad core 12gb ddr4 2tb hdd windows 10 
a81,2018 lenovo ideapad 320 15.6 intel celeron n3350 dual core 4gb 1tb hdd rw hdmi intel hd 500 windows 10 blue,lenovo,ideapad 320,windows 10,2018 lenovo ideapad 320 15.6 intel celeron n3350 dual core 4gb 1tb hdd rw hdmi intel hd 500 windows 10 
a82,asus transformer book t101ha c4 gr 10.1 2 1 ultraportable intel core x5 1.44 ghz 4gb 64gb hd windows 10 touchscreen gray,asus,t101ha c4 gr,windows 10,asus transformer book t101ha c4 gr 10.1 2 1 ultraportable intel core x5 1.44 ghz 4gb 64gb hd windows 10 touchscreen asus
a83,acer aspire e15 15.6 full hd 2018 7th gen intel core i7 7500u process 3.50 ghz 8gb ddr4 1tb hdd usb c 3.1 hdmi win 10,acer,t8tjg,windows 10,acer aspire e15 15.6 full hd 2018 7th gen intel core i7 7500u process 3.50 ghz 8gb ddr4 1tb hdd usb c 3.1 hdmi win 10 t8tjg windows
a84,newest hp 14 chromebook hd sva 1366 x 768 intel dual core celeron n2840 2.16ghz 4gb dd3l 16gb emmc hdmi stereo speakers hd google chrome os,hp,hp chromebook 14,chrome os,newest hp 14 chromebook hd sva 1366 x 768 intel dual core celeron n2840 2.16ghz 4gb dd3l 16gb emmc hdmi stereo speakers hd google chrome chromebook
a85,dell i5378 3031gry pus inspiron 13.3 2 1 7th gen core i3 2.40 ghz 4gb 1tb hdd intel hd 620 gray,dell,i5378 3031gry pus,windows 10 64bit english,dell i5378 3031gry pus inspiron 13.3 2 1 7th gen core i3 2.40 ghz 4gb 1tb hdd intel hd 620 windows 10 64bit english
a86,asus fx503vd 15.6” fhd powerful intel core i5 7300hq quad core 2.5ghz 3.5ghz gtx 1050 1tb firecuda sshd 8gb ddr4 windows 10 home,asus,fx503vd wh51,windows 10,asus fx503vd 15.6” fhd powerful intel core i5 7300hq quad core 2.5ghz 3.5ghz gtx 1050 1tb firecuda sshd 8gb ddr4 windows 10 asus fx503vd wh51
a87,2018 asus vivobook max 15.6 hd pc intel pentium n4200 quad core 4gb 500gb hdd bang & olufsen usb c rw windows 10,asus,,windows 10,2018 asus vivobook max 15.6 hd pc intel pentium n4200 quad core 4gb 500gb hdd bang & olufsen usb c rw windows 10 
a88,dell inspiron i3552 4042blk 15.6 intel celeron 4 gb 500 gb hdd ,dell,i3552 4042blk,windows 10,dell inspiron i3552 4042blk 15.6 intel celeron 4 gb 500 gb hdd windows 10
a89,hp 15.6 touchscreen pc intel i3 7100u dual core 8gb 1tb hdd rw hdmi windows 10 black,hp,t8tjg,windows 10,hp 15.6 touchscreen pc intel i3 7100u dual core 8gb 1tb hdd rw hdmi windows 10 t8tjg
a90,2018 dell inspiron fhd ips 15.6 touchscreen intel quad core i5 8250u beat i7 7500u 8gb ddr4 1tb hdd windows 10,dell_inspiron_i5 8250u,t8tjg,windows 10,2018 dell inspiron fhd ips 15.6 touchscreen intel quad core i5 8250u beat i7 7500u 8gb ddr4 1tb hdd windows 10 dell_inspiron_i5 8250u t8tjg
a91,2017 dell inspiron 15 5566 core i5 7200u 8gb ddr4 256gb solid state ssd 802.11ac windows 10 professional,dell,5566,windows 10,2017 dell inspiron 15 5566 core i5 7200u 8gb ddr4 256gb solid state ssd 802.11ac windows 10 
a92,acer predator helios 300 intel core i7 geforce gtx 1060 17.3 full hd 16gb ddr4 1tb hhd 256gb ssd ph317 51 787b,acer,ph317 51 787b,windows 10,acer predator helios 300 intel core i7 geforce gtx 1060 17.3 full hd 16gb ddr4 1tb hhd 256gb ssd ph317 51 787b windows
a93,hp 17.3 hd 2018 intel core i3 7100u 2.4 ghz 8gb 2tb optical hd windows 10 smoke gray,hp,hp,windows 10,hp 17.3 hd 2018 intel core i3 7100u 2.4 ghz 8gb 2tb optical hd windows 10 smoke 
a94,hp 15.6 hd touchscreen 2018 latest 8th gen intel core i7 8550u 4.00 ghz 8gb ddr4 256 gb m.2 ssd rw windows 10 home,hp,hp 15.6 touch i7 8550u 8gb 256gb ssd,windows 10,hp 15.6 hd touchscreen 2018 latest 8th gen intel core i7 8550u 4.00 ghz 8gb ddr4 256 gb m.2 ssd rw windows 10 hp 15.6 touch i7 8550u 8gb 256gb ssd
a95,lenovo ideapad 320 15.6 hd pc intel celeron n3350 dual core 4gb 1tb hdd rw 4.1 windows 10 plum purple,lenovo,,windows 10,lenovo ideapad 320 15.6 hd pc intel celeron n3350 dual core 4gb 1tb hdd rw 4.1 windows 10 plum purple 
