_id,ltable_id,rtable_id,ltable_model,ltable_extended_title,rtable_model,rtable_extended_title,match
121,a1047,w1589,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,p650hp6 g,prostar clevo p650hp6 g vr ready 15.6 fhd ips g sync intel core i7 7700hq 16gb ddr4 gtx 1060 512gb ssd windows 10 wi fi 1 p650hp6 g microsoft ,1
131,a1047,w1618,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,p650hp6 g,prostar clevo p650hp6 g vr ready 15.6 fhd ips g sync intel core i7 7700hq 32gb ddr4 gtx 1060 512gb ssd 1tb hdd windows 10 wi fi 1 p650hp6 g microsoft ,1
143,a1059,w1492,gx501vs xs71,asus rog zephyrus gx501vs xs71 i7 7700hq 16gb 256gb nvme ssd nvidia gtx 1070 8gb 15.6 full hd 120hz g sync windows 10 excaliberpc microsoft,gx501vs xs71,asus gx501vs xs71 i7 7700hq 2.8ghz 3.8ghz asus windows 10,1
159,a1099,w685,t8tjg,2017 dell inspiron 17.3 2 1 fhd ips touchscreen intel dual core i7 7500u 2.7ghz 16gb ddr4 512gb ssd 2gb nvidia geforce 940mx maxxaudio win 10 t8tjg windows 64 bit,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os,0
179,a1109,w708,xps9350 10673slv,dell xps9350 10673slv 13.3 3200x1800 intel core i7 6560u 2.2ghz 16 gb 1 tb sdd windows 10 microsoft ,xps9350 4007slv,dell 13.3 xps xps9350 4007slv pc intel core i5 6200u 8gb touch 256gb solid state windows 10 ,1
186,a111,w685,t8tjg,dell inspiron 5000 15.6 hd pc intel core i7 7500u 16gb 512gb ssd rw 2 usb 3.0 rj 45 windows 10 t8tjg,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os,0
192,a1113,w3782,md231ll a,apple macbook air md231ll a 13.3 md231ll a x v10.8 mountain lion,mc968ll a,apple macbook air mc968ll a 11.6 x 10.7 lion,0
209,a1116,w341,,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 32gb 2tb hdd 1tb ssd 15.6 fhd 1920x1080 touchscreen win 10 windows,hp 15 02395 fhd me18,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 32gb 1tb hdd 128gb ssd 15.6 fhd 1920x1080 touchscreen win 10 hp 15 02395 fhd me18 microsoft windows,1
214,a1116,w351,,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 32gb 2tb hdd 1tb ssd 15.6 fhd 1920x1080 touchscreen win 10 windows,hp 15 02395 fhd me13,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 512gb ssd 15.6 fhd 1920x1080 touchscreen win 10 hp 15 02395 fhd me13 microsoft windows,1
232,a112,w738,xps9360 1718slv,dell xps9360 1718slv 13.3 7th gen intel core i5 8gb 128 gb ssd machined back & base windows 10,xps9360 7697slv,dell xps 13 9360 intel i7 7560u 16gb 512gb ssd xps9360 7697slv windows 10,1
256,a1135,w685,t8tjg,hp envy 15t pc uhd 4k touchscreen intel i7 32 gb 1tb hdd 512 gb ssd 15.6 uhd 3840 x 2160 touchscreen windows 10 hp t8tjg,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os,0
261,a1137,w2599,thinkpad e570 20h5 p1,lenovo thinkpad e570 20h5 p1 15.6 16 9 1366 x 768 intel core i5 7th gen i5 7200u dual core 2 core 2.50 ghz 16 gb ddr4 sdram 525 gb ssd windows 10 authority professional,thinkpad,refurbished lenovo thinkpad t430 i5 2.6ghz 8gb 240ssd windows 10 64 cam ,0
274,a1138,w3090,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 12gb 256gb ssd 14 ips fhd 1920x1080 ,1
288,a1138,w3131,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 256gb nvme ssd 14 ips fhd 1920x1080 ,1
295,a1138,w3158,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 128gb ssd 14 ips wqhd 2560x1440 ,1
307,a1138,w3183,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 12gb 512gb ssd 14 ips fhd 1920x1080 ,1
326,a1138,w3211,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 512gb nvme ssd 14 ips fhd 1920x1080 ,1
372,a1138,w3318,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,pcie touch lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 512gb nvme ssd 14 ips fhd 1920x1080 touchscreen ,1
376,a1138,w3326,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 20gb 512gb ssd 14 ips wqhd 2560x1440 ,1
377,a1138,w3327,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,1
381,a1138,w3331,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 512gb ssd 14 ips wqhd 2560x1440 ,1
390,a1138,w3349,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 1tb nvme ssd 14 ips fhd 1920x1080 ,1
400,a1138,w3370,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 10 intel core i7 6600u 12gb 1tb ssd 14 ips wqhd 2560x1440 ,1
412,a1138,w3386,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 1tb ssd 14 ips fhd 1920x1080 ,1
429,a1138,w3410,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,pcie touch lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 1tb nvme ssd 14 ips fhd 1920x1080 touchscreen ,1
431,a1138,w3413,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 1tb nvme ssd 14 ips fhd 1920x1080 ,1
441,a1138,w3441,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 2tb nvme ssd 14 ips wqhd 2560x1440 ,1
450,a1138,w3452,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 2tb nvme ssd 14 ips fhd 1920x1080 ,1
460,a1138,w3464,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 12gb 2tb nvme ssd 14 ips fhd 1920x1080 ,1
462,a1138,w3466,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 256gb nvme ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 12gb 2tb nvme ssd 14 ips fhd 1920x1080 ,1
505,a1164,w685,t8tjg,dell inspiron 2 1 13.3 touch intel core i5 7200u 8gb 256gb solid state dell t8tjg windows 10,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os,0
519,a1166,w4539,nx.gr7aa.007,acer intel core i5 1.60 ghz 8 gb 256 gb ssd windows 10 nx.gr7aa.007,nx.gtsaa.005,refurbished acer intel core i5 1.60 ghz 8 gb 256 gb ssd windows 10 nx.gtsaa.005,1
520,a1166,w4551,nx.gr7aa.007,acer intel core i5 1.60 ghz 8 gb 256 gb ssd windows 10 nx.gr7aa.007,nx.gstaa.001,refurbished acer intel core i5 2.50 ghz 8 gb 256 gb ssd windows 10 nx.gstaa.001,1
523,a1166,w724,nx.gr7aa.007,acer intel core i5 1.60 ghz 8 gb 256 gb ssd windows 10 nx.gr7aa.007,nx.gr7aa.002,spin 5 sp513 52n 5621 13.3 core i5 8250u 8 gb 256 gb ssd touch convertable acer nx.gr7aa.002 windows 10,1
528,a1174,w685,t8tjg,eluktronics x p650hs g vr ready 15.6 120hz 5ms gamers pc intel i7 7700hq quad core win 10 8gb gddr5 nvidia geforce gtx 1070 g sync 512gb nvme ssd 32gb ddr4 t8tjg windows 64 bit,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os,0
537,a1178,w1455,hp pavilion,2018 hp pavilion 15.6 full hd ips wled intel dual core i7 7500u 3.5ghz 16gb ddr4 512gb ssd 802.11ac hdmi usb c win 10 windows 64 bit,hp pavilion 15t,2016 hp pavilion 15t 15.6 fhd touchscreen intel i5 16gb 240gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 microsoft,1
575,a1202,w3633,md760ll a,apple macbook air md760ll a 13.3 x mavericks,md313ll a,apple macbook md313ll a 13.3 ,1
593,a121,w1030,hp envy x360 15.6,2018 hp envy x360 2 1 15.6 fhd 1080p ips touchscreen quad core amd fx 9800p 3.6 ghz 8gb ddr4 1tb 7200rpm hdd hdmi b&o windows ink win10 ,hp envy 15t fhd touch,newest hp envy 15t pc full hd touchscreen intel i7 16gb 1tb hdd 128 gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 ,1
613,a122,w771,i55677161gry,dell inspiron 15 5000 15.6 7th intel core i7 7500u 12gb 1tb windows 10 i55677161gry,i55677291gry,dell inspiron 15 5567 i55677291gry windows 10,1
634,a1241,w3074,20en p10,lenovo thinkpad p50 windows 10 intel i7 6700hq 64gb 1tb ssd 15.6 fhd ips 1920x1080 nvidia quadro m1000m ac wi fi 20en p10,len 15 01217 p71me9,lenovo thinkpad p51s 15.6 intel i7 16gb 1tb ssd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 len 15 01217 p71me9 microsoft windows,1
659,a1249,w1612,p650hs g,prostar clevo p650hs g vr ready 15.6 120hz 5ms w nvidia g sync intel core i7 7700hq 32gb ddr4 gtx 1070 512gb ssd 1tb hdd wi fi 1 prostar windows,p650hp6 g,prostar clevo p650hp6 g vr ready 15.6 fhd ips g sync intel core i7 7700hq 32gb ddr4 gtx 1060 256gb nvme ssd 1tb hdd windows 10 wi fi 1 p650hp6 g microsoft ,1
691,a1269,w3062,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 ,1
698,a1269,w3084,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s touch windows 10 intel core i7 6600u 12gb 128gb ssd 14 ips fhd 1920x1080 touchscreen ,1
704,a1269,w3091,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s touch windows 7 intel core i7 6600u 12gb 128gb ssd 14 ips fhd 1920x1080 touchscreen ,1
705,a1269,w3092,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s touch windows 10 intel core i7 6600u 12gb 256gb ssd 14 ips fhd 1920x1080 touchscreen ,1
714,a1269,w3130,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 256gb nvme ssd 14 ips fhd 1920x1080 ,1
715,a1269,w3131,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 256gb nvme ssd 14 ips fhd 1920x1080 ,1
716,a1269,w3137,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 512gb ssd 14 ips fhd 1920x1080 ,1
730,a1269,w3161,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 12gb 256gb nvme ssd 14 ips fhd 1920x1080 ,1
776,a1269,w3248,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 256gb ssd 14 ips wqhd 2560x1440 ,1
785,a1269,w3257,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 1tb ssd 14 ips fhd 1920x1080 ,1
843,a1269,w3386,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 1tb ssd 14 ips fhd 1920x1080 ,1
844,a1269,w3387,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 12gb 1tb nvme ssd 14 ips fhd 1920x1080 ,1
849,a1269,w3399,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 20gb 1tb ssd 14 ips wqhd 2560x1440 ,1
860,a1269,w3415,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 1tb nvme ssd 14 ips fhd 1920x1080 ,1
876,a1269,w3459,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 8.1 intel core i7 6600u 20gb 2tb nvme ssd 14 ips wqhd 2560x1440 ,1
881,a1269,w3465,,lenovo thinkpad t470s windows 10 intel core i7 7600u 16gb 512gb ssd 14 ips wqhd 2560x1440 ,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 12gb 2tb nvme ssd 14 ips fhd 1920x1080 ,1
891,a1280,w928,2ua28ut#aba,smart probook 470 g5 2ua28ut#aba unknown,2ue38ut#aba,elitebook x360 1020 g2 i5 7200u 8gb 256gb 12.5 windows 10 touch hp 2ue38ut#aba,0
893,a1287,w224,i5567 5734gry pus,dell i5567 5734gry pus 15.6 imr non touch hd windows 10 english,i5578 3052gry pus,dell inspiron 15 i5578 3052gry pus 15.6 full hd 2 1 convertible touchscreen intel i3 7100u 8gb 1tb hdd windows,1
900,a1292,w2638,80xb0002us,lenovo flex 5 15.6 2 1 intel core i5 8 gb 256 gb ssd windows 10 80xb0002us home,80x50002us,lenovo 320s 15ikb 15.6 core i7 7500u 8 gb 1 tb hdd 80x50002us windows 10,1
906,a1294,w4574,80vh0001us,lenovo chromebook n22 11.6 ips touchscreen intel n3060 dual core 16gb emmc ssd 4gb ddr3 802.11ac chromeos 80vh0001us,80s60001us,refurbished rectified lenovo n22 80s60001us 11.6 hd 4gb 32gb hdd 80s60001us,1
911,a13,w609,i3567 5664blk pus,dell inspiron 15.6 hd touchscreen pc intel core i5 7200u 8gb 2tb hdd rw windows 10 i3567 5664blk pus,i3567 3636blk pus,dell i3567 3636blk pus inspiron 15.6 touchscreen pc 8gb 1tb windows 10,1
939,a1312,w2990,lenovo thinkpad p51 workstation,lenovo thinkpad p51 15.6 intel i7 quad core 64gb 1tb ssd 15.6 fhd 1920x1080 ips nvidia quadro m1200m win 10 ,len 15 01217 p71me7,lenovo thinkpad p51s 15.6 intel i7 16gb 512gb ssd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 len 15 01217 p71me7 microsoft windows,1
954,a1323,w1817,nx.ml8aa.004,acer aspire e5 571 588m 15.6 intel core i5 4210u 1.7ghz 4gb 500gb hdd windows 8.1 midnight nx.ml8aa.004 8 ,nx.ge8aa.004,manufacturer acer cp5 471 312n 14 chromebook chrome intel core i3 6100u 8gb 32gb nx.ge8aa.004,0
955,a1323,w1837,nx.ml8aa.004,acer aspire e5 571 588m 15.6 intel core i5 4210u 1.7ghz 4gb 500gb hdd windows 8.1 midnight nx.ml8aa.004 8 ,nx.mqnaa.004,refurbished acer 11.6 chromebook celeron n2830 dual core 2.16ghz 2gb 16gb ssd chromeos nx.mqnaa.004,0
960,a1329,w1412,n870hp6,prostar clevo n870hp6 17.3” full hd ips intel core i7 7700hq 32gb ddr4 gtx 1060 500gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050ti 1tb hdd windows 10 wi fi 1 n850hk1 microsoft ,0
985,a1329,w1543,n870hp6,prostar clevo n870hp6 17.3” full hd ips intel core i7 7700hq 32gb ddr4 gtx 1060 500gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 500gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft,0
986,a1329,w1544,n870hp6,prostar clevo n870hp6 17.3” full hd ips intel core i7 7700hq 32gb ddr4 gtx 1060 500gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050ti 120gb ssd 1tb hdd windows 10 wi fi 1 n850hk1 microsoft,0
1003,a1329,w1569,n870hp6,prostar clevo n870hp6 17.3” full hd ips intel core i7 7700hq 32gb ddr4 gtx 1060 500gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 32gb ddr4 gtx 1050ti 256gb ssd 1tb hdd windows 10 wi fi 1 n850hk1 microsoft ,0
1016,a1329,w1590,n870hp6,prostar clevo n870hp6 17.3” full hd ips intel core i7 7700hq 32gb ddr4 gtx 1060 500gb ssd 1tb hdd windows 10 wi fi 1 prostar,p650hp6 g,prostar clevo p650hp6 g vr ready 15.6 fhd ips g sync intel core i7 7700hq 16gb ddr4 gtx 1060 256gb ssd 1tb hdd windows 10 wi fi 1 p650hp6 g microsoft ,0
1050,a1336,w1501,p950hr,prostar clevo p950hr 15.6 full hd ips intel core i7 7700hq 32gb ddr4 gtx 1070 max q 512gb nvme ssd 1tb hdd windows 10 wi fi 1 prostar,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 32gb ddr4 gtx 1060 250gb ssd windows 10 wi fi 1 n850hp6 microsoft,1
1067,a1336,w1554,p950hr,prostar clevo p950hr 15.6 full hd ips intel core i7 7700hq 32gb ddr4 gtx 1070 max q 512gb nvme ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050ti 500gb ssd windows 10 wi fi 1 n850hk1 microsoft,1
1078,a1336,w1570,p950hr,prostar clevo p950hr 15.6 full hd ips intel core i7 7700hq 32gb ddr4 gtx 1070 max q 512gb nvme ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 32gb ddr4 gtx 1050 512gb nvme ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft ,1
1113,a1347,w3052,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,20bu00cuus,lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 20bu00cuus,1
1119,a1347,w3060,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 128gb ssd 14 ips fhd 1920x1080 ,1
1128,a1347,w3082,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 12gb 256gb ssd 14 ips fhd 1920x1080 ,1
1130,a1347,w3084,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,lenovo thinkpad t460s touch windows 10 intel core i7 6600u 12gb 128gb ssd 14 ips fhd 1920x1080 touchscreen ,1
1142,a1347,w3097,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 12gb 128gb ssd 14 ips fhd 1920x1080 ,1
1209,a1347,w3215,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 256gb ssd 14 ips fhd 1920x1080 ,1
1224,a1347,w3247,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,pcie touch lenovo thinkpad t460s windows 7 intel core i7 6600u 12gb 512gb nvme ssd 14 ips fhd 1920x1080 touchscreen ,1
1238,a1347,w3261,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,pcie lenovo thinkpad t460s windows 8.1 intel core i7 6600u 20gb 256gb nvme ssd 14 ips fhd 1920x1080 ,1
1247,a1347,w3275,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,1
1282,a1347,w3343,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 512gb nvme ssd 14 ips wqhd 2560x1440 ,1
1304,a1347,w3376,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 12gb 1tb nvme ssd 14 ips fhd 1920x1080 ,1
1330,a1347,w3407,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,pcie lenovo thinkpad t460s windows 8.1 intel core i7 6600u 12gb 1tb nvme ssd 14 ips wqhd 2560x1440 ,1
