_id,ltable_id,rtable_id,ltable_model,ltable_extended_title,rtable_model,rtable_extended_title
10,a0,w4519,nh.q28aa.001,acer predator helios 300 15.6 full hd intel core i7 7700hq 16gb ddr4 256gb ssd geforce gtx 1060 6gb vr ready kb g3 571 77qk nh.q28aa.001 windows,nh.q1raa.001,refurbished acer predator 21 gx21 71 76zf i7 3.9ghz 1tb pce ssd 64 gb gtx 1080 sli nh.q1raa.001 windows
11,a1001,w1367,v b0728jv216,dell inspiron 15 7559 15.6 fhd pc intel i7 6700hq quad core 16gb 1tb hdd 8gb ssd nvidia geforce gtx 960m 4gb gddr5 windows 10 v b0728jv216,i7559 3763blk,dell inspiron 15.6 fhd intel core i7 6700hq 3.5 ghz nvidia geforce gtx 960m 4gb gddr5 graphic 16gb ddr3 hd 1tb hd i7559 3763blk windows 10
12,a1002,w2733,v1p90ut#aba,hp elitebook 1040 g3 pc v1p90ut energy star intel core i5 6200u 8gb 256gb ssd win10 dg win7 v1p90ut#aba windows 64 available through downgrade rights from windows 64 ,v1p91ut#aba,hp elitebook 1040 g3 14 core i5 6300u 8 gb 256 gb ssd v1p91ut#aba windows 7
13,a1002,w2943,v1p90ut#aba,hp elitebook 1040 g3 pc v1p90ut energy star intel core i5 6200u 8gb 256gb ssd win10 dg win7 v1p90ut#aba windows 64 available through downgrade rights from windows 64 ,v1p90ut#aba,hp elitebook 1040 g3 14 core i5 6200u 8 gb 256 gb ssd v1p90ut#aba windows 7
14,a1002,w2946,v1p90ut#aba,hp elitebook 1040 g3 pc v1p90ut energy star intel core i5 6200u 8gb 256gb ssd win10 dg win7 v1p90ut#aba windows 64 available through downgrade rights from windows 64 ,v1p89ut#aba,hp elitebook 1040 g3 14 core i5 6200u 8 gb 128 gb ssd v1p89ut#aba windows 7
15,a1002,w3019,v1p90ut#aba,hp elitebook 1040 g3 pc v1p90ut energy star intel core i5 6200u 8gb 256gb ssd win10 dg win7 v1p90ut#aba windows 64 available through downgrade rights from windows 64 ,v1p91ut#aba,hp inc. sb notebooks v1p91ut#aba 1040 i5 6300u 2.4g microsoft windows
16,a1004,w1013,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,20hy0000us,lenovo thinkpad 11e 20hy0000us 11.6 touchscreen lcd chromebook 20hy0000us os
17,a1004,w1196,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,20gl0006us,lenovo thinkpad 13 chromebook 13.3 celeron 3855u 4 gb 16 gb ssd 20gl0006us os
18,a1004,w1800,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,20j00000us,lenovo thinkpad 11e chromebook 11.6 celeron n3450 4 gb 32 gb ssd 20j00000us os
19,a1004,w1819,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,20gl0000us 2 zzz,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us 2 zzz os
20,a1004,w1840,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,20hv0000us,lenovo thinkpad 11e 20hv0000us 11.6 lcd netbook microsoft windows windows 10 
21,a1004,w1962,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,20gl0008us,lenovo thinkpad 13 chromebook 20gl 20gl0008us thinkpad 13 chromebook 20gl 20gl0008us os
22,a1004,w2742,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,20gl0002us,lenovo thinkpad 13 chromebook 13.3 core i3 6100u 4 gb 16 gb ssd 20gl0002us os
23,a1004,w2889,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,20gl0005us,lenovo thinkpad 13 chromebook 13.3 core i5 6300u 8 gb 32 gb ssd 20gl0005us os
24,a1004,w297,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,20hu0000us,lenovo thinkpad yoga 11e 11.6 core i3 7100u 8 gb 128 gb ssd 20hu0000us windows 
25,a1004,w836,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,20hy0000us,lenovo thinkpad yoga 11e chromebook 11.6 celeron n3450 4 gb 32 gb ssd 20hy0000us os
26,a1004,w856,20gl0000us,lenovo thinkpad 13 chromebook celeron 3855u 4gb 16gb emmc chrome 20gl0000us os,20gl0008us,lenovo thinkpad 13 chromebook 13.3 core i3 6100u 4 gb 16 gb ssd 20gl0008us os
27,a1010,w685,t8tjg,acer aspire 15.6 1920x1080 2018 7th gen intel core i5 7200u 2.50 ghz nvidia geforce 940mx 2gb 8 gb 1tb hdd 802.11ac hdmi usb c hd media win 10 acer i5 1tb 8gb 15.6 t8tjg windows,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
28,a1011,w685,t8tjg,2018 lenovo thinkpad 11e 4h 11.6 intel i3 7100u 128gb m.2 ssd 4gb ddr4 802.11ac win10 t8tjg windows,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
29,a1013,w2265,66txp,dell 66txp latitude 5580 15.6 fhd intel core i5 7300u 8gb ddr4 256gb solid state windows 10 ,lati35802t78m,dell latitude 3580 15.6 hd intel core i5 7200u 8gb ddr4 128gb solid state windows 10 lati35802t78m
30,a1013,w2389,66txp,dell 66txp latitude 5580 15.6 fhd intel core i5 7300u 8gb ddr4 256gb solid state windows 10 ,66txp,dell latitude 5580 15.6 core i5 7300u 8 gb 256 gb ssd 66txp windows 10
31,a102,w1746,c300sa dh02,asus chromebook c300sa compact 13.3 intel celeron 4gb 16gb emmc asus c300sa dh02,c300sa dh02,c300sa dh02 cel n3060 4gb 16gb 13.3in chrome asus chrome
32,a102,w1834,c300sa dh02,asus chromebook c300sa compact 13.3 intel celeron 4gb 16gb emmc asus c300sa dh02,,asus chromebook c300sa dh02 lb 13.3 intel celeron n3060 1.6ghz 4gb lpddr3 16gb emmc tpm usb3.0 chrome os
33,a102,w1915,c300sa dh02,asus chromebook c300sa compact 13.3 intel celeron 4gb 16gb emmc asus c300sa dh02,c300sa ds02 lb,c300sa ds02 lb n3060 1.6g 4gb 16gb 13.3in no touch scrn chrome asus chrome
34,a102,w1924,c300sa dh02,asus chromebook c300sa compact 13.3 intel celeron 4gb 16gb emmc asus c300sa dh02,c300sa wh04,asus c300sa 13.3 chromebook chrome intel celeron n3060 4gb 32gb emmc c300sa wh04
35,a1021,w2354,8.89e 11,acer spin 3 sp315 51 54mw intel core i5 6th gen 6200u 2.30 ghz 8 gb 256 gb ssd 15.6 touchscreen 1920 x 1080 2 1 windows 10 8.89e 11,8.89e 11,acer aspire r 15 r5 571tg 78g8 15.6 fhd touch 7th gen i7 7500u 940mx 12gb 1tb 8.89e 11 microsoft windows windows 10
36,a1022,w280,i5368 10024gry,dell i5368 10024gry 13.3 fhd 2 1 intel core i7 6500u 2.5ghz 8 gb 256 gb sdd windows 10 microsoft ,i5368 10025gry,dell inspiron i5368 10025gry 2 1 pc intel core i5368 10025gry windows edition
37,a1022,w36,i5368 10024gry,dell i5368 10024gry 13.3 fhd 2 1 intel core i7 6500u 2.5ghz 8 gb 256 gb sdd windows 10 microsoft ,i5368 1692gry,refurbished dell i5368 1692gry 13.3 fhd 2 1 intel core i3 6100u 2.3ghz 4 gb 1 tb hdd windows 10 i5368 1692gry
38,a1027,w1097,nbcj5,ctl j5 chromebook 11.6 1366 x 768 hd 16 9 ips 2 1 convertible 10 point touch n3060 4gb nbcj5 os,nbcj5,ctl nbcj5 11.6 touchscreen chromebook w intel celeron n3060 & 32gb corp nbcj5 os
39,a1029,w685,t8tjg,hp 455 g3 15.6 hd probook pc amd a10 8700p quad core radeon r6 16gb ddr3 1tb hdd rw rj 45 windows 10 t8tjg,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
40,a103,w2418,ux303ua dh51t,asus zenbook ux303ua 13.3 fhd touchscreen intel core i5 8 gb 256 gb ssd windows 10 asus ux303ua dh51t,ux303ua dh51t,i5 6200u 8gb 256gb 13.3in touch w10 asus ux303ua dh51t windows
41,a1031,w2593,a515 51 596k,acer 15.6 intel core i5 3.40ghz 8gb 256gb ssd windows 10 a515 51 596k home,nx.gk9aa.025,acer 15.6 intel core i5 2.5ghz 8 gb 256gb ssd windows 10 sp315 51 579m nx.gk9aa.025
42,a1031,w4480,a515 51 596k,acer 15.6 intel core i5 3.40ghz 8gb 256gb ssd windows 10 a515 51 596k home,nx.gtpaa.002,refurbished acer 15.6 intel core i5 3.40ghz 8gb 256gb ssd windows 10 nx.gtpaa.002
43,a1036,w155,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,1bs68ut#aba,hp probook x360 11 g1 education 11.6 celeron n3350 4 gb 128 gb ssd 1bs68ut#aba unknown
44,a1036,w157,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,1bs69ut#aba,hp probook x360 11 g1 education 11.6 pentium n4200 4 gb 128 gb ssd 1bs69ut#aba windows 10
45,a1036,w1803,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,1bs54ut#aba,hp elitebook 850 g4 15.6 core i7 7600u 16 gb 256 gb ssd 1bs54ut#aba windows 10 
46,a1036,w60,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,1bs95ut#aba,hp elitebook x360 1030 g2 13.3 core i5 7200u 8 gb 128 gb ssd 1bs95ut#aba windows
47,a1036,w644,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,1bs35ut#aba,hp zbook 15u g4 15.6 core i7 7500u 16 gb 512 gb ssd 1bs35ut#aba windows 10
48,a1036,w731,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,1bs55ut#aba,hp elitebook 850 g4 15.6 core i7 7600u 8 gb 256 gb ssd 1bs55ut#aba windows 10 
49,a1036,w758,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,1bs76ut#aba,hp chromebook 11 g5 education 11.6 celeron n3060 4 gb 16 gb ssd 1bs76ut#aba
50,a1036,w871,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,1bs77ut#aba,hp chromebook 11 g5 education 11.6 celeron n3060 4 gb 32 gb ssd us 1bs77ut#aba os
51,a1036,w907,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,1bt06ut#aba,hp x2 612 g1 12 core i5 7y54 8 gb 256 gb ssd us hp x2 612 travel 1bt06ut#aba windows 10
52,a1036,w941,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,1bs50ut#aba,hp elitebook 850 g4 15.6 core i5 7300u 8 gb 256 gb ssd 1bs50ut#aba windows 10
53,a1036,w944,1bs46ut#aba,hp elitebook 850 g4 15.6 windows intel core i5 2.5 ghz 8 gb 256 gb ssd 1bs46ut#aba 10 edition,1ge46ut#aba,hp elitebook 840 g4 14 core i7 7600u 8 gb 256 gb ssd 1ge46ut#aba windows 10
54,a1038,w685,t8tjg,newest 2018 dell inspiron 13 5000 2 1 13.3 full hd touchscreen pc intel core i7 8550u quad core 8gb ddr4 256gb ssd hdmi windows 10 t8tjg,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
55,a104,w685,t8tjg,2017 hp 15.6 pc amd a12 9700p apu quad core 8gb ddr4 1tb hdd rw amd radeon r7 window 10 t8tjg windows,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
56,a1043,w685,t8tjg,hp 17.3 hd amd dual core a9 9420 apu 3.0ghz 4gb ddr4 1tb hdd amd radeon r5 usb 3.1 hdmi gigabit ethernet windows 10 t8tjg,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
57,a1044,w915,80xb000bus,lenovo flex 5 15.6 full hd touch multimode 2 1 intel core i7 7500u 16gb 512gb ssd nvidia geforce 940mx windows 10 80xb000bus,80ys000bus,topseller n23 n3060 1.60g 4gb 32gb 11.6in hd chrome lenovo 80ys000bus chrome os
58,a1045,w2245,t8tjg,2017 hp 17.3 hd wled backlight 7th gen intel core i7 7500u 8gb 1tb hdd windows 10 t8tjg,2017,2017 hp 17.3 hd wled backlight pc intel core i5 8gb ddr4 1tb hdd usb 3.1 hdmi rw windows 10 
59,a1045,w2530,t8tjg,2017 hp 17.3 hd wled backlight 7th gen intel core i7 7500u 8gb 1tb hdd windows 10 t8tjg,,2017 hp 17.3 hd wled backlight pc intel core i5 8gb ddr4 1tb hdd usb 3.1 hdmi rw windows 10 
60,a1045,w685,t8tjg,2017 hp 17.3 hd wled backlight 7th gen intel core i7 7500u 8gb 1tb hdd windows 10 t8tjg,t8tjg,dell chromebook 11 3189 11.6 celeron n3060 4 gb 64 gb ssd t8tjg os
61,a1047,w1387,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050 120gb ssd windows 10 wi fi 1 n855hj microsoft 
62,a1047,w1392,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050ti 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
63,a1047,w1400,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050 1tb hdd windows 10 wi fi 1 n855hj microsoft 
64,a1047,w1412,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050ti 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
65,a1047,w1415,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050 128gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft 
66,a1047,w1419,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 32gb ddr4 gtx 1050 1tb hdd windows 10 wi fi 1 n855hj microsoft 
67,a1047,w1421,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1060 120gb ssd windows 10 wi fi 1 n850hp6 microsoft 
68,a1047,w1425,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” fhd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050ti 120gb ssd windows 10 wi fi 1 n850hk1 microsoft 
69,a1047,w1426,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 1tb hdd windows 10 wi fi 1 n855hj microsoft 
70,a1047,w1440,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 n850hp6 microsoft
71,a1047,w1443,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” fhd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050ti 120gb ssd 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
72,a1047,w1459,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 256gb nvme ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft 
73,a1047,w1467,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050ti 512gb ssd windows 10 wi fi 1 n850hk1 microsoft 
74,a1047,w1480,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 128gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft 
75,a1047,w1485,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,p650hp6 g,prostar clevo p650hp6 g vr ready 15.6 fhd ips g sync intel core i7 7700hq 8gb ddr4 gtx 1060 1tb hdd windows 10 wi fi 1 p650hp6 g microsoft 
76,a1047,w1487,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050 120gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft 
77,a1047,w1488,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050ti 512gb ssd 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
78,a1047,w1493,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 8gb ddr4 gtx 1050ti 128gb ssd 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
79,a1047,w1497,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050ti 250gb ssd windows 10 wi fi 1 n850hk1 microsoft
80,a1047,w1501,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 32gb ddr4 gtx 1060 250gb ssd windows 10 wi fi 1 n850hp6 microsoft
81,a1047,w1510,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 500gb ssd windows 10 wi fi 1 n850hp6 microsoft
82,a1047,w1511,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 120gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft
83,a1047,w1514,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 250gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft
84,a1047,w1519,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 250gb ssd windows 10 wi fi 1 n855hj microsoft
85,a1047,w1524,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n850hk1,prostar clevo n850hk1 15.6” full hd ips 1920x1080 intel core i7 7700hq 32gb ddr4 gtx 1050ti 256gb nvme ssd 1tb hdd windows 10 wi fi 1 n850hk1 microsoft 
86,a1047,w1536,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 256gb ssd 1tb hdd windows 10 wi fi 1 n855hj microsoft 
87,a1047,w1540,n850hp6,prostar clevo n850hp6 15.6” fhd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1060 120gb ssd 1tb hdd windows 10 wi fi 1 prostar,n855hj,prostar clevo n855hj 15.6” full hd ips 1920x1080 intel core i7 7700hq 16gb ddr4 gtx 1050 500gb ssd windows 10 wi fi 1 n855hj microsoft
