id,product_title,brand,model,operating_system,extended_title
w16,asus transformer book t100 chi 10.1 full hd corning concore glass touchscreen detachable 2 1 intel quad core 128 gb 4gb windows 10 included,asus,t100chi i4 bk,microsoft windows,asus transformer book t100 chi 10.1 full hd corning concore glass touchscreen detachable 2 1 intel quad core 128 gb 4gb windows 10 t100chi i4 bk microsoft
w17,hp 15.6 touchscreen 2 1 windows 10 intel core i3 7100u 8gb 1tb assorted ,hp,1kt67ua#aba,windows 10,hp 15.6 touchscreen 2 1 windows 10 intel core i3 7100u 8gb 1tb assorted 1kt67ua#aba
w18,asus q304ua bhi5t11 2 1 13.3 touchscreen touch pc tablet i5 6gb 1tb 7th gen kaby lake i5 7200u,asus,q304ua bhi5t11,microsoft windows,asus q304ua bhi5t11 2 1 13.3 touchscreen touch pc tablet i5 6gb 1tb 7th gen kaby lake i5 7200u microsoft windows
w19,microsoft surface 4 12.3 4gb 128gb intel core m3,microsoft,su3 00001,microsoft windows,microsoft surface 4 12.3 4gb 128gb intel core m3 su3 00001 windows
w20,lenovo yoga book yb1 x91f 10.1 atom x5 x5 z8550 4gb lpddr3 64gb android 6.0 1920 x 1200 ips convertible 2 1 notebook,lenovo,za0v0224us,android 6.0,lenovo yoga book yb1 x91f 10.1 atom x5 x5 z8550 4gb lpddr3 64gb android 6.0 1920 x 1200 ips convertible 2 1 za0v0224us
w21,asus chromebook flip c213sa ys02 11.6 2 1 intel celeron n3350 dual core 4gb 32gb drive,asus,c213sa ys02,chrome os,asus chromebook flip c213sa ys02 11.6 2 1 intel celeron n3350 dual core 4gb 32gb asus c213sa ys02 os
w22,hp envy x360 15 aq165nr 15.6 touchscreen 2 1 windows 10 intel core i7 7500u dual core 8gb 1tb drive,hp,w2k50ua#aba,windows 10,hp envy x360 15 aq165nr 15.6 touchscreen 2 1 windows 10 intel core i7 7500u dual core 8gb 1tb w2k50ua#aba
w23,visual land 10.1 ips intel quad core [2 1] tablet 16gb includes docking case,visual land,me10qi16kcblk,android,visual land 10.1 ips intel quad core [2 1] tablet 16gb includes docking case me10qi16kcblk android
w24,microsoft surface pro,microsoft,,microsoft windows,microsoft surface windows
w25,hp chromebook x360 11 g1 ee 11.6 touchscreen lcd 2 1 chromebook,hp,2dr10ut#aba,chrome os,hp chromebook x360 11 g1 ee 11.6 touchscreen lcd 2 1 chromebook 2dr10ut#aba os
w26,dell inspiron 13 5000 2 1 touch 13.3 intel pent 4415u 4gb 1tb 5400 rpm hd intel hd 610,dell,,windows 10 english,dell inspiron 13 5000 2 1 touch 13.3 intel pent 4415u 4gb 1tb 5400 rpm hd intel hd 610 windows english
w27,lenovo flex 4 1470 80sa0000us 2 1 14 hd touch pentium 4405u 2.1ghz 4gb 500gb,lenovo,i7347 7550s,microsoft windows,lenovo flex 4 1470 80sa0000us 2 1 14 hd touch pentium 4405u 2.1ghz 4gb 500gb i7347 7550s microsoft windows
w28,manufacturer acer 11.6 intel celeron 1.1 ghz 4 gb 32 gb windows 10 sp111 31n c4ug,acer,nx.gngaa.001,windows 10,manufacturer acer 11.6 intel celeron 1.1 ghz 4 gb 32 gb windows 10 sp111 31n c4ug nx.gngaa.001
w29,hp 15 br077nr 15.6 touchscreen 2 1 windows 10 intel core i5 7200u 8gb 256gb solid state drive,hp,1kt69ua#aba,windows 10,hp 15 br077nr 15.6 touchscreen 2 1 windows 10 intel core i5 7200u 8gb 256gb solid state 1kt69ua#aba
w30,switch alpha 12 sa5 271 78m8 12in 8gb 256gb w10h 11ac i7 6500u,acer,nt.lcdaa.014,windows 10,switch alpha 12 sa5 271 78m8 12in 8gb 256gb w10h 11ac i7 6500u acer nt.lcdaa.014 windows
w31,hp pavilion x360 intel pentium 6gb 15.6” full hd touch convertible ,hp,1kt74uar#aba,microsoft windows,hp pavilion x360 intel pentium 6gb 15.6” full hd touch convertible 1kt74uar#aba microsoft windows
w32,lenovo flex 5 2 1 core i5 8250u 8gb 128gb ssd 14 full hd touch windows 10,lenovo,81c9000cus,microsoft windows,lenovo flex 5 2 1 core i5 8250u 8gb 128gb ssd 14 full hd touch windows 10 81c9000cus microsoft
w33,lenovo yoga 710 2 1 15.6 touch intel core i5 8gb 256gb solid state tablet pc 80v50010us,lenovo,80v50010us,microsoft windows,lenovo yoga 710 2 1 15.6 touch intel core i5 8gb 256gb solid state tablet pc 80v50010us 80v50010us microsoft windows
w34,refurbished dell i3168 3271blu 11.6 hd 2 1 pentium n3710 1.6ghz 4 gb ddr3l sdram 500 gb hdd win 10 bali blue,dell,i3168 3271blu,,refurbished dell i3168 3271blu 11.6 hd 2 1 pentium n3710 1.6ghz 4 gb ddr3l sdram 500 gb hdd win 10 bali i3168 3271blu
w35,manufacturer asus t102ha 10.1 touch intel atom x5 z8350 1.44ghz 4gb 128gb w10,asus,t102ha qc2 cb rf,microsoft windows,manufacturer asus t102ha 10.1 touch intel atom x5 z8350 1.44ghz 4gb 128gb w10 asus t102ha qc2 cb rf microsoft windows
w36,refurbished dell i5368 1692gry 13.3 fhd 2 1 intel core i3 6100u 2.3ghz 4 gb 1 tb hdd windows 10 gray,dell,i5368 1692gry,,refurbished dell i5368 1692gry 13.3 fhd 2 1 intel core i3 6100u 2.3ghz 4 gb 1 tb hdd windows 10 i5368 1692gry
w37,hp envy x360 15 aq110nr 15.6 touchscreen 2 1 windows 10 intel core i7 7500u dual core 8gb 256gb solid state drive,hp,x7u50ua#aba,windows 10,hp envy x360 15 aq110nr 15.6 touchscreen 2 1 windows 10 intel core i7 7500u dual core 8gb 256gb solid state x7u50ua#aba
w38,hp chromebook x360 11 g1 ee 11.6 touchscreen chromebook n3450 quadcore 4gb 64gb,hp,2qu86ut#aba,chrome os,hp chromebook x360 11 g1 ee 11.6 touchscreen chromebook n3450 quadcore 4gb 64gb 2qu86ut#aba os
w39,hp pavilion x360 15 2 1 touch core i5 7200u 8gb 1tb hdd 15.6 full hd,hp,,microsoft windows 10,hp pavilion x360 15 2 1 touch core i5 7200u 8gb 1tb hdd 15.6 full hd microsoft windows 10
w40,asus chromebook flip c302ca dhm4 12.5 touchscreen lcd 2 1 chromebook,asus,c302ca dhm4,chrome os,asus chromebook flip c302ca dhm4 12.5 touchscreen lcd 2 1 chromebook asus os
w41,asus vivobook tp200sa dh01t bl 11.6 lightweight 2 1 hd touchscreen intel celeron 2.48 ghz 4gb 32gb emmc windows 10 color,asus,tp200sa dh01t bl,microsoft windows,asus vivobook tp200sa dh01t bl 11.6 lightweight 2 1 hd touchscreen intel celeron 2.48 ghz 4gb 32gb emmc windows 10 tp200sa dh01t bl microsoft
w42,refurbished hp pavilion 15 br052od x360 convertible 15.6in. touch intel i5 8gb 1tb hd windows 10 home,hp,,microsoft windows,refurbished hp pavilion 15 br052od x360 convertible 15.6in. touch intel i5 8gb 1tb hd windows 10 microsoft
w43,microsoft surface 4,microsoft,cr5 00001,microsoft windows,microsoft surface 4 cr5 00001 windows
w44,dell inspiron 15 15.6 7559 pc intel core i7 6700hq 8gb touch 1tb hybrid windows 10 home,dell,7559,windows 10,dell inspiron 15 15.6 7559 pc intel core i7 6700hq 8gb touch 1tb hybrid windows 10 
w45,lenovo thinkpad p40 yoga 14 core i7 6600u 16 gb 512 gb ssd,lenovo,20gq000eus,windows 10,lenovo thinkpad p40 yoga 14 core i7 6600u 16 gb 512 gb ssd 20gq000eus windows 10
w46,lenovo 10.1 yoga book multi touch 2 1 # za150000us,lenovo,,microsoft windows,lenovo 10.1 yoga book multi touch 2 1 # za150000us microsoft windows
w47,hp pavilion x360 2 1 15.6 fhd touchscreen i5 7200u 8gb 128gb ssd win 10,hp,15 br095ms,microsoft windows,hp pavilion x360 2 1 15.6 fhd touchscreen i5 7200u 8gb 128gb ssd win 10 15 br095ms microsoft windows
w48,acer switch alpha 12 sa5 271p 5972 12 core i5 6200u 8 gb 256 gb ssd us international,acer,nt.lceaa.004,windows 10,acer switch alpha 12 sa5 271p 5972 12 core i5 6200u 8 gb 256 gb ssd us nt.lceaa.004 windows 10
w49,r5 471t 78vy i7 6500u 2.5g 8gb 256gb ssd 14in 11ac w10h,acer,nx.g7waa.012,windows 10,r5 471t 78vy i7 6500u 2.5g 8gb 256gb ssd 14in 11ac w10h acer nx.g7waa.012 windows
w50,microsoft surface book13.5 8gb 128gb intel core i5 windows 10 pro,microsoft,,microsoft windows,microsoft surface book13.5 8gb 128gb intel core i5 windows 10 
w51,dell inspiron 13 5000 i5378 3031gry intel core i3 7th gen 7100u 2.40 ghz 4 gb 1 tb hdd 13.3 touchscreen 1920 x 1080 2 1 windows 10 64 bit,dell,i5378 3031gry,windows 10,dell inspiron 13 5000 i5378 3031gry intel core i3 7th gen 7100u 2.40 ghz 4 gb 1 tb hdd 13.3 touchscreen 1920 x 1080 2 1 windows 10 dell
w52,lenovo yoga book yb1 x91f za150289us 10.1 atom x5 x5 z8550 4gb lpddr3 128gb windows 10 1920 x 1200 ips convertible 2 1 notebook,lenovo,za150289us,windows 10,lenovo yoga book yb1 x91f za150289us 10.1 atom x5 x5 z8550 4gb lpddr3 128gb windows 10 1920 x 1200 ips convertible 2 1 
w53,slide 11.6 2 1 folding touchscreen quad core 1.4 ghz intel 32gb 2gb windows 10 white,slide,lap116wh,windows 10,slide 11.6 2 1 folding touchscreen quad core 1.4 ghz intel 32gb 2gb windows 10 lap116wh
w54,lenovo n23 yoga chromebook 11.6 mt8173c 4 gb 32 gb ssd,lenovo,za260016us,chrome os,lenovo n23 yoga chromebook 11.6 mt8173c 4 gb 32 gb ssd za260016us os
w55,microsoft 4ym 00001 64gb i3 pro3,microsoft,4ym00001,microsoft windows,microsoft 4ym 00001 64gb i3 pro3 4ym00001 windows
w56,microsoft surface book base,microsoft,96d 00001,microsoft windows,microsoft surface book base 96d 00001 windows
w57,asus 10 point 1 transformer book asus transformer book t100 chi t100chi b1 bk 32 gb net tablet pc 10.1 plane switching ips technology truvivid technology ,asus,t100chi b1 bk,microsoft windows,asus 10 point 1 transformer book asus transformer book t100 chi t100chi b1 bk 32 gb net tablet pc 10.1 plane switching ips technology truvivid technology asus t100chi b1 bk microsoft windows
w58,microsoft surface book 13.5 core i7 6600u 8 gb 256 gb ssd north america,microsoft,sw5 00001,windows 10 pro,microsoft surface book 13.5 core i7 6600u 8 gb 256 gb ssd north america sw5 00001 windows 10 pro
w59,t102ha d4 gr atom z8350 4gb 128gb ssd 10.1in w10 no touch,asus,t102ha d4 gr,windows 10,t102ha d4 gr atom z8350 4gb 128gb ssd 10.1in w10 no touch asus windows
w60,hp elitebook x360 1030 g2 13.3 core i5 7200u 8 gb 128 gb ssd,hp,1bs95ut#aba,windows 10,hp elitebook x360 1030 g2 13.3 core i5 7200u 8 gb 128 gb ssd 1bs95ut#aba windows
w61,lenovo thinkpad x1 yoga 14 core i5 7200u 8 gb 180 gb ssd,lenovo,20jd0022us,windows 10 ,lenovo thinkpad x1 yoga 14 core i5 7200u 8 gb 180 gb ssd 20jd0022us windows 10 
w62,refurbished lenovo yoga 12.5 windows 10 intel core i5 4300u 4gb 180gb solid state drive,lenovo,wa5 30853,microsoft windows,refurbished lenovo yoga 12.5 windows 10 intel core i5 4300u 4gb 180gb solid state wa5 30853 microsoft
w63,lenovo yoga 900 core i7 6500u 13.3 qhd touch 8gb 256gb ssd ac win10 laptop,lenovo,80mk002cus,windows 10,lenovo yoga 900 core i7 6500u 13.3 qhd touch 8gb 256gb ssd ac win10 80mk002cus windows
w64,dell inspiron 15.6 2 1 i7 8550u 8gb 1tb hd keyboar i5579 7978gry pus,dell,i5579 7978gry pus,windows 10,dell inspiron 15.6 2 1 i7 8550u 8gb 1tb hd keyboar i5579 7978gry pus windows 10
w65,latitude 5289 12 fhd touch i5 7300u vpro 8gb 256gb w10p 1yr ps,dell,99wf7,windows 10 french spanish ,latitude 5289 12 fhd touch i5 7300u vpro 8gb 256gb w10p 1yr ps dell 99wf7 windows french spanish 
w66,hp elitebook x360 1030 g2 13.3 core i7 7600u 16 gb 512 gb ssd us hp active pen usb c lan adapter,hp,2ht66ut#aba,windows 10,hp elitebook x360 1030 g2 13.3 core i7 7600u 16 gb 512 gb ssd us hp active pen usb c lan adapter 2ht66ut#aba windows
w67,refurbished dell i3168 3270red 11.6 hd 2 1 intel 1.6 ghz 4gb 500 gb hdd red,dell,i3168 3270red,microsoft windows,refurbished dell i3168 3270red 11.6 hd 2 1 intel 1.6 ghz 4gb 500 gb hdd microsoft windows
w68,dell inspiron 2 1 13.3 intel i5 7200u 8gb 256gb ssd,dell,i5378 5896gry,windows 10 ,dell inspiron 2 1 13.3 intel i5 7200u 8gb 256gb ssd i5378 5896gry windows 10 
w69,lenovo thinkpad p40 yoga 14 core i7 6500u 8 gb 256 gb ssd,lenovo,20gq000bus,windows 10,lenovo thinkpad p40 yoga 14 core i7 6500u 8 gb 256 gb ssd 20gq000bus windows 10
w70,acer switch alpha 12 sa5 271p 74e1 12 core i7 6500u 8 gb 256 gb ssd us international,acer,nt.lceaa.005,windows 10,acer switch alpha 12 sa5 271p 74e1 12 core i7 6500u 8 gb 256 gb ssd us nt.lceaa.005 windows 10
w71,dell chromebook 11 3189,dell,2nn30,chrome,dell chromebook 11 3189 2nn30
w72,dell inspiron 13 2 1 core i7 8550u 256gb ssd 8gb 13.3 full hd touch display,dell,i5379 7302gry pus,windows 10,dell inspiron 13 2 1 core i7 8550u 256gb ssd 8gb 13.3 full hd touch i5379 7302gry pus windows 10
w73,lenovo miix 320 10icr 10.1 atom x5 z8350 2 gb 64 gb ssd,lenovo,80xf0025us,windows 10 ,lenovo miix 320 10icr 10.1 atom x5 z8350 2 gb 64 gb ssd 80xf0025us windows 
w74,lenovo thinkpad x1 yoga 14 core i7 6500u 8 gb 512 gb ssd,lenovo,20fq000qus,windows 10,lenovo thinkpad x1 yoga 14 core i7 6500u 8 gb 512 gb ssd 20fq000qus windows 10
w75,lenovo graphite 11.6 thinkpad yoga 11e touch 2 1 convertible pc intel core m 5y10c dual core 4gb 500gb windows 10 pro,lenovo,20e50014us,windows 10,lenovo graphite 11.6 thinkpad yoga 11e touch 2 1 convertible pc intel core m 5y10c dual core 4gb 500gb windows 10 20e50014us
w76,hp spectre x360 13t convertible 2 1 tablet intel 8th gen quad core 16gb 256gb ssd 13.3 fhd 1920x1080 touch active stylus pen win 10 rose gold,michaelelectronics2,hp 13 02387 fhd me1,microsoft windows,hp spectre x360 13t convertible 2 1 tablet intel 8th gen quad core 16gb 256gb ssd 13.3 fhd 1920x1080 touch active stylus pen win 10 rose hp 13 02387 fhd me1 microsoft windows
w77,dell chromebook 11 3189,dell,dp1t3,chrome,dell chromebook 11 3189 dp1t3
w78,refurbished dell inspiron i7559 7512gry 15.6 touchscreen windows 10 intel core i7 6700hq 16gb 128gb solid state drive,dell,i7559 7512gry,windows 10,refurbished dell inspiron i7559 7512gry 15.6 touchscreen windows 10 intel core i7 6700hq 16gb 128gb solid state 
w79,lenovo thinkpad yoga 260 12.5 core i5 6200u 8 gb 180 gb ssd,lenovo,20fd003rus,windows 10 ,lenovo thinkpad yoga 260 12.5 core i5 6200u 8 gb 180 gb ssd 20fd003rus windows 10 
w80,lenovo thinkpad x1 yoga 14 core i7 7600u 16 gb 512 gb ssd,lenovo,20jf000dus,windows 10 ,lenovo thinkpad x1 yoga 14 core i7 7600u 16 gb 512 gb ssd 20jf000dus windows 10 
w81,acer switch alpha 12 sa5 271p 38uz 12 core i3 6100u 4 gb 128 gb ssd us international,acer,nt.lceaa.001,windows 10,acer switch alpha 12 sa5 271p 38uz 12 core i3 6100u 4 gb 128 gb ssd us nt.lceaa.001 windows
w82,microsoft surface pro,microsoft,,windows 10,microsoft surface windows 10
w83,manufacturer acer aspire r5 471t 71lx 14 touchscreen 2 1 windows 10 intel core i7 6500u 8gb 256gb solid state drive,acer,nx.g7waa.014,windows 10,manufacturer acer aspire r5 471t 71lx 14 touchscreen 2 1 windows 10 intel core i7 6500u 8gb 256gb solid state nx.g7waa.014
w84,lenovo thinkpad yoga 370 13.3 core i7 7500u 8 gb 256 gb ssd,lenovo,20jh002fus,windows 10 ,lenovo thinkpad yoga 370 13.3 core i7 7500u 8 gb 256 gb ssd 20jh002fus windows 10 
w85,dell inspiron 15 5000 i5578 15.6 touchscreen 2 1 windows 10 intel core i7 7500u 16gb 512gb solid state drive,dell,i5578 10050gry,windows 10,dell inspiron 15 5000 i5578 15.6 touchscreen 2 1 windows 10 intel core i7 7500u 16gb 512gb solid state i5578 10050gry
w86,hp spectre x360 13t convertible 2 1 intel 8th gen i7 8550u quad core 16gb 2tb ssd 13.3 uhd 4k 3840x2160 touch active stylus pen win 10 ash silver,michaelelectronics2,hp 13 02386 uhd me4,microsoft windows,hp spectre x360 13t convertible 2 1 intel 8th gen i7 8550u quad core 16gb 2tb ssd 13.3 uhd 4k 3840x2160 touch active stylus pen win 10 ash hp 13 02386 uhd me4 microsoft windows
w87,microsoft surface pro,microsoft,,microsoft windows,microsoft surface windows
w88,2015 tablet of the microsoft surface book tablet 2 1 13.5 touch 3000x2000 3k 3 2 qhd digitizer stylus pen windows 10 core i5 6300u 8gb 128gb ssd only ,microsoft,cr9 00001,microsoft windows,2015 tablet of the microsoft surface book tablet 2 1 13.5 touch 3000x2000 3k 3 2 qhd digitizer stylus pen windows 10 core i5 6300u 8gb 128gb ssd only cr9 00001
w89,lenovo miix 320 10icr 10.1 atom x5 z8350 2 gb 64 gb ssd,lenovo,80xf000dus,windows 10,lenovo miix 320 10icr 10.1 atom x5 z8350 2 gb 64 gb ssd 80xf000dus windows
w90,lenovo 12 ideapad miix 700 convertible pc intel core m3 6y30 4gb touch 64gb solid state windows 10,lenovo,80ql0004us,windows 10,lenovo 12 ideapad miix 700 convertible pc intel core m3 6y30 4gb touch 64gb solid state windows 10 80ql0004us
w91,hp elitebook x360 1030 g2 13.3 core i7 7600u 16 gb 512 gb ssd us,hp,1nm41ut#aba,windows 10,hp elitebook x360 1030 g2 13.3 core i7 7600u 16 gb 512 gb ssd us 1nm41ut#aba windows
w92,microsoft surface pro,microsoft,,microsoft windows,microsoft surface windows
w93,hp envy x360 2 1 15.6 touch intel core i5 12gb 1tb silvernotebook tablet pc touchscreen m6 aq103dx,hp,w2k45ua#aba,microsoft windows,hp envy x360 2 1 15.6 touch intel core i5 12gb 1tb silvernotebook tablet pc touchscreen m6 aq103dx w2k45ua#aba microsoft windows
w94,hp spectre x360 13.3 convertible intel i7 7560u intel iris 16gb 256gb ssd 13.3 full hd touch 1920 x 1080 thunderbolt bt win 10 ,michaelelectronics2,hp 13 02400 fhd me1,microsoft windows,hp spectre x360 13.3 convertible intel i7 7560u intel iris 16gb 256gb ssd 13.3 full hd touch 1920 x 1080 thunderbolt bt win 10 hp 13 02400 fhd me1 microsoft windows
w95,lenovo yoga book yb1 x91f za150273us 10.1 atom x5 x5 z8550 4gb lpddr3 128gb windows 10 1920 x 1200 ips convertible 2 1 notebook,lenovo,za150273us,windows 10,lenovo yoga book yb1 x91f za150273us 10.1 atom x5 x5 z8550 4gb lpddr3 128gb windows 10 1920 x 1200 ips convertible 2 1 
w96,microsoft surface book 13.5 core i7 6600u 16 gb 512 gb ssd north america,microsoft,sw6 00001,windows 10,microsoft surface book 13.5 core i7 6600u 16 gb 512 gb ssd north america sw6 00001 windows 10
w97,refurbished hp pavilion x360 11 k064nr tablet pc 11.6 lan intel pentium n3700 quad core 4 core 1.60 ghz m1x20ua#aba,hp,m1x20ua # aba,,refurbished hp pavilion x360 11 k064nr tablet pc 11.6 lan intel pentium n3700 quad core 4 core 1.60 ghz m1x20ua#aba m1x20ua aba
w98,hp elitebook revolve 810 g3 tablet pc 11.6 lan intel core i3 i3 5010u 2.10 ghz 4 gb 128 gb ssd windows 8.1 convertible 1366 x 768 multi touch l8d29ut aba ,hp,l8d29ut#aba,microsoft windows,hp elitebook revolve 810 g3 tablet pc 11.6 lan intel core i3 i3 5010u 2.10 ghz 4 gb 128 gb ssd windows 8.1 convertible 1366 x 768 multi touch l8d29ut aba hp l8d29ut#aba microsoft
w99,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 2tb hdd 1tb ssd 15.6 fhd 1920x1080 touchscreen win 10 ,michaelelectronics2,hp 15 02395 fhd me21,microsoft windows,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 2tb hdd 1tb ssd 15.6 fhd 1920x1080 touchscreen win 10 hp 15 02395 fhd me21 microsoft windows
w100,dell xps 13 9365 intel core i7 7y75 x2 1.3ghz 16gb 512gb ssd 13.3 silver  ,dell,1493282306 rfb,windows 10,dell xps 13 9365 intel core i7 7y75 x2 1.3ghz 16gb 512gb ssd 13.3 silver  1493282306 rfb windows 10
w101,dell xps 13 9365 intel core i7 7y75 x2 1.3ghz 16gb 256gb ssd 13.3 silver  ,dell,1493282303 rfb,windows 10,dell xps 13 9365 intel core i7 7y75 x2 1.3ghz 16gb 256gb ssd 13.3 silver  1493282303 rfb windows 10
w102,hp pavilion x360 2 1 touchscreen 15.6 15 bk127cl core i5 7200u,hp,15 bk117ck,windows 10,hp pavilion x360 2 1 touchscreen 15.6 15 bk127cl core i5 7200u 15 bk117ck windows 10
w103,hp envy x360 2 1 15.6 touch tablet pc touchscreen 16gb 1tb kaby lake i7 7th gen m6 aq105dx,hp,w2k44ua#aba,,hp envy x360 2 1 15.6 touch tablet pc touchscreen 16gb 1tb kaby lake i7 7th gen m6 aq105dx w2k44ua#aba
w104,dell inspiron 5379 2 1 intel core i7 8550u x4 1.8ghz 8gb 256gb ssd 13.3 win10 gray,dell,1515571463,windows 10,dell inspiron 5379 2 1 intel core i7 8550u x4 1.8ghz 8gb 256gb ssd 13.3 win10 1515571463 windows
w105,original hp 45w ac charger power adapter cord for hp spectre x360 convertible 15 ap011dx 15 ap012dx 15 ap018ca 15 ap052nr 15 ap062nr 15 ap063nr,hp,,,original hp 45w ac charger power adapter cord for hp spectre x360 convertible 15 ap011dx 15 ap012dx 15 ap018ca 15 ap052nr 15 ap062nr 15 ap063nr 
w106,dell inspiron 7773 2 1 intel core i7 8550u x4 1.8ghz 16gb 1tb 128gb ,dell,1516712339 rfb,windows 10,dell inspiron 7773 2 1 intel core i7 8550u x4 1.8ghz 16gb 1tb 128gb 1516712339 rfb windows 10
w107,hp envy x360 convertible 2 1 full hd ips 15.6 touchscreen intel core i7 8550u 12gb 1tb drive,hp,15 aq267cl,microsoft windows,hp envy x360 convertible 2 1 full hd ips 15.6 touchscreen intel core i7 8550u 12gb 1tb 15 aq267cl microsoft windows
w108,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 16gb 1tb hdd 15.6 fhd 1920 x 1080 touchscreen win10 ash silver,michaelelectronics2,hp 15 02336 x360 fhd me2,microsoft windows,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 16gb 1tb hdd 15.6 fhd 1920 x 1080 touchscreen win10 ash hp 15 02336 x360 fhd me2 microsoft windows
w109,hp envy 360 degree 15in convertible 2 1 full hd ips 15.6 inch,hp,x7u25ua#aba,windows 10,hp envy 360 degree 15in convertible 2 1 full hd ips 15.6 x7u25ua#aba windows 10
